#CNTAS Song Wed Sep 24 09:56:31 2014 
#USER: Song 
#DATE: Wed Sep 24 09:56:31 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=0.5, step=0.1, time=1)
#STEPS: om = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  241.27 
#ANGLES:        s2th=  -61.51         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=   -6.00         sgL=   -6.00       mvfoc=    0.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.72         s1U=  142.00         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.40      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    240.77       5310       5041     2258.0        1.0     111201      2.233      0.057
    240.87       7172       6781     2375.0        1.0     111202      2.855      0.068
    240.97       9212       8758     2250.0        1.0     111203      3.892      0.092
    241.07      11904      11329     2238.0        1.0     111204      5.062      0.117
    241.07      11696      11076     2312.0        1.0     111205      4.791      0.110
    241.27      18441      17584     2325.0        1.0     111206      7.563      0.167
    241.37      21548      20521     2250.0        1.0     111207      9.120      0.203
    241.47      24805      23738     2274.0        1.0     111208     10.439      0.229
    241.57      23292      22307     2354.0        1.0     111209      9.476      0.205
    241.67      19566      18789     2316.0        1.0     111210      8.113      0.179
