#CNTAS Song Wed Sep 24 11:21:17 2014 
#USER: Song 
#DATE: Wed Sep 24 11:21:17 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s1X, start=30, step=1, end=1, time=1)
#STEPS: s1X = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.055 B=  4.055 C=  4.055
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  290.91 
#ANGLES:        s2th=  -72.39         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=   -5.00         sgL=   -0.20       mvfoc=    0.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.72         s1U=  142.00         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.40      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      s1X        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     30.00      25282      24629     2366.0        1.0     111304     10.410      0.224
     29.00      24203      23576     2360.0        1.0     111305      9.990      0.216
     28.00      24241      23617     2259.0        1.0     111306     10.455      0.230
     27.00      25035      24377     2331.0        1.0     111307     10.458      0.227
     26.00      24241      23561     2314.0        1.0     111308     10.182      0.222
     25.00      24914      24280     2371.0        1.0     111309     10.240      0.220
     24.00      24699      24019     2190.0        1.0     111310     10.968      0.245
     23.00      24159      23503     2308.0        1.0     111311     10.183      0.222
     22.00      24369      23769     2318.0        1.0     111312     10.254      0.223
     21.00      24967      24308     2286.0        1.0     111313     10.633      0.233
     20.00      24464      23832     2208.0        1.0     111314     10.793      0.240
     19.00      25038      24356     2287.0        1.0     111315     10.650      0.233
     18.00      24634      23974     2337.0        1.0     111316     10.258      0.222
     17.00      24163      23530     2342.0        1.0     111317     10.047      0.218
     16.00      24403      23771     2333.0        1.0     111318     10.189      0.221
     15.00      24874      24201     2400.0        1.0     111319     10.084      0.216
     14.00      24727      24069     2340.0        1.0     111320     10.286      0.223
     13.00      23851      23275     2300.0        1.0     111321     10.120      0.221
     12.00      22724      22127     2361.0        1.0     111322      9.372      0.203
     11.00      20998      20428     2396.0        1.0     111323      8.526      0.184
     10.00      19583      19062     2337.0        1.0     111324      8.157      0.179
      9.00      17342      16871     2244.0        1.0     111325      7.518      0.169
      8.00      14253      13895     2273.0        1.0     111326      6.113      0.138
      7.00      11760      11438     2167.0        1.0     111327      5.278      0.124
      6.00       9668       9414     2346.0        1.0     111328      4.013      0.093
      5.00       7725       7530     2286.0        1.0     111329      3.294      0.079
      4.00       6015       5861     2232.0        1.0     111330      2.626      0.065
      3.00       4080       3971     2296.0        1.0     111331      1.730      0.045
      2.00       2568       2501     2309.0        1.0     111332      1.083      0.031
      1.00       1344       1307     2301.0        1.0     111333      0.568      0.020
