#CNTAS Song Wed Sep 24 14:45:55 2014 
#USER: Song 
#DATE: Wed Sep 24 14:45:55 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[0, 0, 2.07, 1], step=[0, 0, 0, 0.25], np=21, time=180)
#STEPS: EN = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.055 B=  4.055 C=  4.055
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  252.67 
#ANGLES:        s2th=  -89.63         ath=   28.44      detang=   56.87 
#ANGLES:         sgU=   -5.00         sgL=   -0.20       mvfoc= 1100.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   14.00         s1Y=   14.00 
#ANGLES:         s1L=  142.72         s1U=   80.00         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.40      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   15.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 0.0000  0.0000  2.0700   1.00 392789.0  180.00      129       85   111510  20.91  41.83 287.32 -76.94  21.73  43.45  -0.20  -5.00
 0.0000  0.0000  2.0700   1.25 394297.0  180.00      107       67   111512  20.91  41.83 286.78 -77.35  21.94  43.89  -0.20  -5.00
 0.0000  0.0000  2.0700   1.50 391869.0  180.00      138       97   111514  20.91  41.83 286.24 -77.76  22.17  44.34  -0.20  -5.00
 0.0000  0.0000  2.0700   1.75 391591.0  180.00      147      111   111516  20.91  41.83 285.70 -78.20  22.40  44.80  -0.20  -5.00
 0.0000  0.0000  2.0700   2.00 389886.0  180.00      136       99   111518  20.91  41.83 285.15 -78.63  22.64  45.28  -0.20  -5.00
 0.0000  0.0000  2.0700   2.25 390983.0  180.00      201      146   111520  20.91  41.83 284.59 -79.05  22.89  45.78  -0.20  -5.00
 0.0000  0.0000  2.0700   2.50 391508.0  180.00      210      173   111522  20.91  41.83 284.03 -79.51  23.14  46.29  -0.20  -5.00
 0.0000  0.0000  2.0700   2.75 389455.0  180.00      213      165   111524  20.91  41.83 283.47 -79.96  23.41  46.82  -0.20  -5.00
 0.0000  0.0000  2.0700   3.00 388884.0  180.00      184      139   111526  20.91  41.83 282.90 -80.42  23.68  47.37  -0.20  -5.00
 0.0000  0.0000  2.0700   3.25 389196.0  180.00      162      113   111528  20.91  41.83 282.32 -80.89  23.97  47.94  -0.20  -5.00
 0.0000  0.0000  2.0700   3.50 387774.0  180.00      149      106   111530  20.91  41.83 281.74 -81.37  24.26  48.52  -0.20  -5.00
 0.0000  0.0000  2.0700   3.75 389005.0  180.00      125       83   111532  20.91  41.83 281.15 -81.85  24.57  49.14  -0.20  -5.00
 0.0000  0.0000  2.0700   4.00 389861.0  180.00      122       80   111534  20.91  41.83 280.56 -82.35  24.88  49.77  -0.20  -5.00
 0.0000  0.0000  2.0700   4.25 387114.0  180.00      109       65   111536  20.91  41.83 279.96 -82.87  25.22  50.43  -0.20  -5.00
 0.0000  0.0000  2.0700   4.50 386053.0  180.00      128       81   111539  20.91  41.83 279.35 -83.38  25.56  51.12  -0.20  -5.00
 0.0000  0.0000  2.0700   4.75  98446.0   45.80        0        0   111542  20.91  41.83 278.74 -83.92  25.92  51.83  -0.20  -5.00
 0.0000  0.0000  2.0700   5.00 386947.0  180.00      101       66   111545  20.91  41.83 278.12 -84.46  26.29  52.58  -0.20  -5.00
 0.0000  0.0000  2.0700   5.25 386932.0  180.00       90       53   111555  20.91  41.83 277.49 -85.01  26.68  53.36  -0.20  -5.00
