#CNTAS Song Wed Oct 22 13:21:48 2014 
#USER: Song 
#DATE: Wed Oct 22 13:21:48 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=17, step=0.2, end=21, time=5)
#STEPS: monok = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   17.87       monho=   35.99          om=  300.00 
#ANGLES:        s2th=  -79.32         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc= 1226.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.51         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.68         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2200.00      sadist=  926.64     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     17.00        171         73     3716.0        5.0     112523      0.020      0.002
     17.20        431        213     6970.0        5.0     112524      0.031      0.002
     17.40        989        500    11500.0        5.0     112525      0.043      0.002
     17.60       1952        999    16285.0        5.0     112526      0.061      0.002
     17.80       2555       1353    18621.0        5.0     112527      0.073      0.002
     18.00       2391       1289    17429.0        5.0     112528      0.074      0.002
     18.20       1587        849    13669.0        5.0     112529      0.062      0.002
     18.40        787        394     8186.0        5.0     112530      0.048      0.002
     18.60        342        179     4632.0        5.0     112531      0.039      0.003
     18.80        149         87     2633.0        5.0     112532      0.033      0.004
     19.00         93         44     1489.0        5.0     112533      0.030      0.005
     19.20         46         28     1036.0        5.0     112534      0.027      0.005
     19.40         36         17      771.0        5.0     112535      0.022      0.005
     19.60         22          8      592.0        5.0     112536      0.014      0.005
     19.80         25         14      512.0        5.0     112537      0.027      0.007
     20.00         15          6      473.0        5.0     112538      0.013      0.005
     20.20         11          7      402.0        5.0     112539      0.017      0.007
