#CNTAS Song Wed Oct 22 14:05:04 2014 
#USER: Song 
#DATE: Wed Oct 22 14:05:04 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=700, step=100, end=1700, time=5)
#STEPS: mvfoc = 100  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   17.86       monho=   36.01          om=  300.00 
#ANGLES:        s2th=  -79.52         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc= 1700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.45         s1X=   30.00         s1Y=   30.00 
#ANGLES:         s1L=  142.68         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2750.20      sadist=  926.64     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    701.00        675        347    17650.0        5.0     112604      0.020      0.001
    799.00        897        453    18567.0        5.0     112605      0.024      0.001
    900.00       1318        695    19242.0        5.0     112606      0.036      0.001
   1000.00       1681        831    19651.0        5.0     112607      0.042      0.001
   1100.00       1756        942    19753.0        5.0     112608      0.048      0.002
   1200.00       1491        755    19159.0        5.0     112609      0.039      0.001
   1300.00       1176        605    19227.0        5.0     112610      0.031      0.001
   1400.00        833        433    18776.0        5.0     112611      0.023      0.001
   1500.00        793        399    18659.0        5.0     112612      0.021      0.001
   1600.00        723        351    18478.0        5.0     112613      0.019      0.001
   1701.00        726        395    18519.0        5.0     112614      0.021      0.001
