#CNTAS Song Thu Oct 23 09:39:59 2014 
#USER: Song 
#DATE: Thu Oct 23 09:39:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=17, step=0.1, end=19.5, time=5)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   18.00       monho=   35.99          om=  300.00 
#ANGLES:        s2th=  -79.32         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc= 1225.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.51         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     17.00         87         34     2152.0        5.0     114897      0.016      0.003
     17.10        148         79     2928.0        5.0     114898      0.027      0.003
     17.20        208        122     3983.0        5.0     114899      0.031      0.003
     17.30        313        159     5401.0        5.0     114900      0.029      0.002
     17.40        477        248     7315.0        5.0     114901      0.034      0.002
     17.50        731        370     9481.0        5.0     114902      0.039      0.002
     17.60       1096        583    12000.0        5.0     114903      0.049      0.002
     17.70       1495        768    14695.0        5.0     114904      0.052      0.002
     17.80       1918       1018    16898.0        5.0     114905      0.060      0.002
     17.90       2442       1225    18350.0        5.0     114906      0.067      0.002
     18.00       2787       1491    19438.0        5.0     114907      0.077      0.002
     18.10       2829       1510    19325.0        5.0     114908      0.078      0.002
     18.20       2503       1341    18248.0        5.0     114909      0.073      0.002
     18.30       2160       1168    16188.0        5.0     114910      0.072      0.002
     18.40       1670        877    13657.0        5.0     114911      0.064      0.002
     18.50       1214        622    10907.0        5.0     114912      0.057      0.002
     18.60        831        427     8723.0        5.0     114913      0.049      0.002
     18.70        570        300     6387.0        5.0     114914      0.047      0.003
     18.80        415        204     4837.0        5.0     114915      0.042      0.003
     18.90        265        149     3598.0        5.0     114916      0.041      0.003
     19.00        169         85     2667.0        5.0     114917      0.032      0.004
     19.10        125         67     2107.0        5.0     114918      0.032      0.004
     19.20         93         55     1579.0        5.0     114919      0.035      0.005
     19.30         74         34     1262.0        5.0     114920      0.027      0.005
     19.40         60         37     1068.0        5.0     114921      0.035      0.006
