#CNTAS Song Thu Oct 23 10:57:12 2014 
#USER: Song 
#DATE: Thu Oct 23 10:57:12 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mgL, start=-2.2, step=0.3, end=2.6, time=5)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   18.00       monho=   36.00          om=  300.00 
#ANGLES:        s2th=  -79.06         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc= 1225.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    2.60         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=   12.00        angL=    0.00        angU=    0.01 
#ANGLES:      msdist= 2199.70      sadist=  926.60     detdist=  641.47 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.20         42         18    10516.0        5.0     115040      0.002      0.000
     -1.90         72         22    12160.0        5.0     115041      0.002      0.000
     -1.60         75         29    14167.0        5.0     115042      0.002      0.000
     -1.30         86         27    16335.0        5.0     115043      0.002      0.000
     -1.00        114         43    18280.0        5.0     115044      0.002      0.000
     -0.70        189         83    19631.0        5.0     115045      0.004      0.000
     -0.40        279        121    20347.0        5.0     115046      0.006      0.001
     -0.10        637        321    20430.0        5.0     115047      0.016      0.001
      0.20       1235        634    19557.0        5.0     115048      0.032      0.001
      0.20       1210        604    19987.0        5.0     115049      0.030      0.001
      0.80       2539       1323    18136.0        5.0     115050      0.073      0.002
      1.10       2430       1288    17506.0        5.0     115051      0.074      0.002
      1.40       1848        939    16511.0        5.0     115052      0.057      0.002
      1.70       1021        553    15848.0        5.0     115053      0.035      0.002
      2.00        468        229    15015.0        5.0     115054      0.015      0.001
      2.30        176         91    13656.0        5.0     115055      0.007      0.001
      2.60         65         29    12474.0        5.0     115056      0.002      0.000
