#CNTAS Song Thu Oct 23 17:06:50 2014 
#USER: Song 
#DATE: Thu Oct 23 17:06:50 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=3, step=0.25, time=1)
#STEPS: sgU = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  237.90 
#ANGLES:        s2th=  -66.30         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.00         sgL=   -0.00       mvfoc=  612.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -3.00       1994       1911     4967.0        1.0     115315      0.385      0.010
     -2.75       2912       2794     4955.0        1.0     115316      0.564      0.013
     -2.50       4547       4348     4961.0        1.0     115317      0.876      0.018
     -2.25       5916       5728     5000.0        1.0     115318      1.146      0.022
     -2.00       6495       6309     4910.0        1.0     115319      1.285      0.024
     -1.75       6983       6763     4908.0        1.0     115320      1.378      0.026
     -1.50       7496       7304     5112.0        1.0     115321      1.429      0.026
     -1.25       7376       7212     4901.0        1.0     115322      1.472      0.027
     -1.00       7205       7047     4926.0        1.0     115323      1.431      0.027
     -0.75       7299       7119     4943.0        1.0     115324      1.440      0.027
     -0.50       6813       6618     4865.0        1.0     115325      1.360      0.026
     -0.25       7069       6906     4963.0        1.0     115326      1.391      0.026
      0.00       6917       6708     4966.0        1.0     115327      1.351      0.025
      0.25       6452       6246     4978.0        1.0     115328      1.255      0.024
      0.50       6535       6332     4908.0        1.0     115329      1.290      0.025
      0.75       6580       6343     5026.0        1.0     115330      1.262      0.024
      1.00       6677       6440     5108.0        1.0     115331      1.261      0.024
      1.25       6791       6470     4939.0        1.0     115332      1.310      0.025
      1.50       6822       6468     4899.0        1.0     115333      1.320      0.025
      1.75       6849       6352     4977.0        1.0     115334      1.276      0.024
      2.00       6826       6147     5032.0        1.0     115335      1.222      0.023
      2.25       6742       5760     4860.0        1.0     115336      1.185      0.023
      2.50       6608       5157     4852.0        1.0     115337      1.063      0.021
      2.75       5815       3637     4980.0        1.0     115338      0.730      0.016
      3.00       5035       2385     4898.0        1.0     115339      0.487      0.012
