#CNTAS Song Thu Oct 23 17:25:42 2014 
#USER: Song 
#DATE: Thu Oct 23 17:25:42 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=3, step=0.3, time=1)
#STEPS: om = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   44.99          om=  237.90 
#ANGLES:        s2th=  -66.40         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.12         sgL=   -0.00       mvfoc=  612.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    234.90         78         49     5079.0      1.009     115371      0.010      0.001
    235.20         86         55     4827.0        1.0     115372      0.011      0.002
    235.50        115         80     4965.0        1.0     115373      0.016      0.002
    235.80        125         89     4995.0        1.0     115374      0.018      0.002
    236.10        188        140     4985.0        1.0     115375      0.028      0.002
    236.40        267        202     4932.0        1.0     115376      0.041      0.003
    236.70        409        310     5038.0        1.0     115377      0.062      0.004
    237.00        809        618     4973.0        1.0     115378      0.124      0.005
    237.30       2579       2118     4951.0        1.0     115379      0.428      0.011
    237.60       5343       4574     4975.0        1.0     115380      0.919      0.019
    237.90       7351       6314     4898.0        1.0     115381      1.289      0.025
    238.20       5806       5096     4896.0        1.0     115382      1.041      0.021
    238.50        943        771     4910.0        1.0     115383      0.157      0.006
    238.80        320        247     4892.0        1.0     115384      0.050      0.003
    239.10        192        153     4870.0        1.0     115385      0.031      0.003
    239.40        141        114     4903.0        1.0     115386      0.023      0.002
    239.70        109         80     4891.0        1.0     115387      0.016      0.002
    240.00         85         64     4886.0        1.0     115388      0.013      0.002
    240.30         63         47     4935.0        1.0     115389      0.010      0.001
    240.60         68         51     4990.0        1.0     115390      0.010      0.001
    240.90         56         45     5043.0        1.0     115391      0.009      0.001
