#CNTAS Song Fri Oct 24 00:01:42 2014 
#USER: Song 
#DATE: Fri Oct 24 00:01:42 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1.05, 1.05, 1.05, -8], step=[0, 0, 0, 0.2], np=81, time=60)
#STEPS: EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   45.00          om=  264.29 
#ANGLES:        s2th=  -97.67         ath=   39.92      detang=   79.84 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   16.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.0500  1.0500  1.0500  -8.00 318247.0   60.00       32       11   115855  22.50  45.00 253.75 -59.29  17.36  34.73   0.53   0.11
 1.0500  1.0500  1.0500  -7.80   1707.0    0.32        1        1   115858  22.50  45.00 253.33 -59.54  17.45  34.90   0.53   0.11
 1.0500  1.0500  1.0500  -7.60 316442.0   60.00       45       18   115858  22.50  45.00 252.91 -59.80  17.54  35.08   0.53   0.11
 1.0500  1.0500  1.0500  -7.40 318027.0   60.00       43       18   115860  22.50  45.00 252.49 -60.05  17.63  35.27   0.53   0.11
 1.0500  1.0500  1.0500  -7.20 317345.0   60.00       38       18   115862  22.50  45.00 252.07 -60.30  17.72  35.45   0.53   0.11
 1.0500  1.0500  1.0500  -7.00 316622.0   60.00       39       18   115864  22.50  45.00 251.65 -60.56  17.82  35.64   0.53   0.11
 1.0500  1.0500  1.0500  -6.80 318180.0   60.00       39       14   115866  22.50  45.00 251.22 -60.82  17.91  35.83   0.53   0.11
 1.0500  1.0500  1.0500  -6.60 316573.0   60.00       39       22   115868  22.50  45.00 250.80 -61.08  18.01  36.02   0.53   0.11
 1.0500  1.0500  1.0500  -6.40 317213.0   60.00       39       20   115870  22.50  45.00 250.37 -61.34  18.11  36.22   0.53   0.11
 1.0500  1.0500  1.0500  -6.20 315360.0   60.00       55       29   115872  22.50  45.00 249.94 -61.60  18.21  36.42   0.53   0.11
 1.0500  1.0500  1.0500  -6.00 317201.0   60.00       48       22   115874  22.50  45.00 249.51 -61.86  18.31  36.63   0.53   0.11
 1.0500  1.0500  1.0500  -5.80 315862.0   60.00       47       20   115876  22.50  45.00 249.08 -62.13  18.42  36.84   0.53   0.11
 1.0500  1.0500  1.0500  -5.60 318484.0   60.00       51       19   115878  22.50  45.00 249.08 -62.39  18.52  37.05   0.53   0.11
 1.0500  1.0500  1.0500  -5.40 314431.0   60.00       53       26   115880  22.50  45.00 248.22 -62.66  18.63  37.26   0.53   0.11
 1.0500  1.0500  1.0500  -5.20 317366.0   60.00       46       19   115882  22.50  45.00 247.78 -62.93  18.74  37.48   0.53   0.11
 1.0500  1.0500  1.0500  -5.00 314532.0   60.00       42       22   115884  22.50  45.00 247.35 -63.20  18.85  37.70   0.53   0.11
 1.0500  1.0500  1.0500  -4.80 317481.0   60.00       51       32   115886  22.50  45.00 246.91 -63.47  18.97  37.93   0.53   0.11
 1.0500  1.0500  1.0500  -4.60 316864.0   60.00       50       27   115888  22.50  45.00 246.47 -63.74  19.08  38.16   0.53   0.11
 1.0500  1.0500  1.0500  -4.40 316228.0   60.00       59       37   115890  22.50  45.00 246.03 -64.02  19.20  38.40   0.53   0.11
 1.0500  1.0500  1.0500  -4.20 318285.0   60.00       54       31   115892  22.50  45.00 245.59 -64.30  19.32  38.63   0.53   0.11
 1.0500  1.0500  1.0500  -4.00 315697.0   60.00       50       27   115894  22.50  45.00 245.15 -64.57  19.44  38.88   0.53   0.11
 1.0500  1.0500  1.0500  -3.80 316806.0   60.00       48       31   115896  22.50  45.00 244.70 -64.85  19.56  39.13   0.53   0.11
 1.0500  1.0500  1.0500  -3.60 316747.0   60.00       52       28   115898  22.50  45.00 244.25 -65.13  19.69  39.38   0.53   0.11
 1.0500  1.0500  1.0500  -3.40 317933.0   60.00       58       34   115900  22.50  45.00 243.80 -65.41  19.82  39.64   0.53   0.11
 1.0500  1.0500  1.0500  -3.20 317042.0   60.00       67       35   115902  22.50  45.00 243.35 -65.70  19.95  39.90   0.53   0.11
 1.0500  1.0500  1.0500  -3.00 317200.0   60.00       58       22   115904  22.50  45.00 242.90 -65.99  20.08  40.17   0.53   0.11
 1.0500  1.0500  1.0500  -2.80 318230.0   60.00       54       16   115906  22.50  45.00 242.45 -66.28  20.22  40.45   0.53   0.11
 1.0500  1.0500  1.0500  -2.60 316347.0   60.00       50       23   115908  22.50  45.00 241.99 -66.56  20.36  40.73   0.53   0.11
 1.0500  1.0500  1.0500  -2.40 316951.0   60.00       62       14   115910  22.50  45.00 241.53 -66.86  20.51  41.01   0.53   0.11
 1.0500  1.0500  1.0500  -2.20 317249.0   60.00       67       17   115912  22.50  45.00 241.07 -67.15  20.65  41.31   0.53   0.11
