#CNTAS Song Tue Jul 15 09:19:17 2014 
#USER: Song 
#DATE: Tue Jul 15 09:19:17 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=500, step=50, end=1700, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.66       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.00         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    500.00        918        918   186720.0       10.0     100236      0.005      0.000
    550.00        818        818   191232.0       10.0     100237      0.004      0.000
    600.00        806        806   197673.0       10.0     100238      0.004      0.000
    650.00        766        766   203088.0       10.0     100239      0.004      0.000
    700.00        674        674   208073.0     10.006     100240      0.003      0.000
    750.00        674        674   210491.0       10.0     100241      0.003      0.000
    800.00        699        699   212987.0       10.0     100242      0.003      0.000
    850.00        741        741   213449.0       10.0     100243      0.003      0.000
    900.00        718        718   212903.0       10.0     100244      0.003      0.000
    950.00        676        676   212505.0     10.006     100245      0.003      0.000
   1000.00        661        661   209578.0     10.005     100246      0.003      0.000
   1050.00        685        685   206802.0       10.0     100247      0.003      0.000
   1100.00        571        571   199063.0       10.0     100248      0.003      0.000
   1150.00        546        546   188808.0       10.0     100249      0.003      0.000
   1200.00        542        542   180998.0       10.0     100250      0.003      0.000
   1250.00        500        500   173370.0       10.0     100251      0.003      0.000
   1300.00        492        492   164745.0       10.0     100252      0.003      0.000
   1350.00        459        459   156327.0       10.0     100253      0.003      0.000
   1400.00        423        423   148877.0       10.0     100254      0.003      0.000
   1450.00        419        419   141079.0       10.0     100255      0.003      0.000
   1500.00        407        407   135769.0       10.0     100256      0.003      0.000
   1550.00        363        363   131202.0       10.0     100257      0.003      0.000
   1600.00        368        368   127136.0       10.0     100258      0.003      0.000
   1650.00        375        375   125068.0       10.0     100259      0.003      0.000
   1700.00        375        375   122455.0       10.0     100260      0.003      0.000
