#CNTAS Song Tue Jul 15 09:29:51 2014 
#USER: Song 
#DATE: Tue Jul 15 09:29:51 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=500, step=50, end=1700, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.66       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.50         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    500.00       1220       1220   197009.0       10.0     100264      0.006      0.000
    550.00       1230       1230   205082.0       10.0     100265      0.006      0.000
    600.00       1217       1217   211866.0       10.0     100266      0.006      0.000
    650.00       1385       1384   218148.0       10.0     100267      0.006      0.000
    700.00       1362       1362   219526.0       10.0     100268      0.006      0.000
    750.00       1325       1325   221216.0       10.0     100269      0.006      0.000
    800.00       1215       1215   220206.0       10.0     100270      0.006      0.000
    850.00       1129       1129   219919.0       10.0     100271      0.005      0.000
    900.00       1012       1012   220357.0       10.0     100272      0.005      0.000
    950.00        875        875   219533.0       10.0     100273      0.004      0.000
   1000.00        922        922   217436.0       10.0     100274      0.004      0.000
   1050.00        767        767   215080.0       10.0     100275      0.004      0.000
   1100.00        738        738   211293.0       10.0     100276      0.003      0.000
   1150.00        673        673   207706.0       10.0     100277      0.003      0.000
   1200.00        610        610   198838.0       10.0     100278      0.003      0.000
   1250.00        577        577   192760.0       10.0     100279      0.003      0.000
   1300.00        536        536   182710.0       10.0     100280      0.003      0.000
   1350.00        486        486   171541.0       10.0     100281      0.003      0.000
   1400.00        474        474   162921.0       10.0     100282      0.003      0.000
   1450.00        483        483   154563.0     10.004     100283      0.003      0.000
   1500.00        473        473   146922.0       10.0     100284      0.003      0.000
   1550.00        439        439   140232.0       10.0     100285      0.003      0.000
   1600.00        426        426   135954.0       10.0     100286      0.003      0.000
   1650.00        448        448   131435.0       10.0     100287      0.003      0.000
   1700.00        452        452   127818.0       10.0     100288      0.004      0.000
