#CNTAS Song Tue Jul 15 09:48:05 2014 
#USER: Song 
#DATE: Tue Jul 15 09:48:05 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=42.6, step=0.1, end=44.6, time=10)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.66       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.28         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    1.00         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.91     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     42.60         82         82    21782.0     10.004     100316      0.004      0.000
     42.70        106        106    26596.0       10.0     100317      0.004      0.000
     42.80        129        129    33337.0       10.0     100318      0.004      0.000
     42.90        157        157    41836.0       10.0     100319      0.004      0.000
     43.00        174        174    53940.0       10.0     100320      0.003      0.000
     43.10        275        275    68126.0       10.0     100321      0.004      0.000
     43.20        364        364    87370.0       10.0     100322      0.004      0.000
     43.30        454        454   110354.0       10.0     100323      0.004      0.000
     43.40        672        672   137961.0       10.0     100324      0.005      0.000
     43.50       1007       1007   166428.0       10.0     100325      0.006      0.000
     43.60       1179       1179   195281.0       10.0     100326      0.006      0.000
     43.70       1529       1528   219745.0       10.0     100327      0.007      0.000
     43.80       1759       1759   236363.0       10.0     100328      0.007      0.000
     43.90       1929       1929   241584.0       10.0     100329      0.008      0.000
     44.00       1838       1838   237799.0       10.0     100330      0.008      0.000
     44.10       1542       1542   221727.0       10.0     100331      0.007      0.000
     44.20       1277       1277   198811.0       10.0     100332      0.006      0.000
     44.30        950        950   170749.0       10.0     100333      0.006      0.000
     44.40        692        692   140649.0       10.0     100334      0.005      0.000
     44.50        448        448   112334.0       10.0     100335      0.004      0.000
     44.60        350        350    87303.0       10.0     100336      0.004      0.000
