#CNTAS Song Tue Jul 15 11:07:20 2014 
#USER: Song 
#DATE: Tue Jul 15 11:07:20 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=59, step=0.1, end=61, time=10)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   60.00       monho=  120.62          om=    0.00 
#ANGLES:        s2th=   49.35         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  700.00 
#ANGLES:        mtrX=    0.00        mtrY=   -0.99         mgU=   -0.88 
#ANGLES:         mgL=    0.80         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.74     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     59.00         83         83    26129.0       10.0     100438      0.003      0.000
     59.10         90         90    33571.0       10.0     100439      0.003      0.000
     59.20        138        138    44366.0       10.0     100440      0.003      0.000
     59.30        159        159    57840.0       10.0     100441      0.003      0.000
     59.40        262        262    75133.0     10.002     100442      0.003      0.000
     59.50        314        314    96275.0     10.002     100443      0.003      0.000
     59.60        465        465   119817.0       10.0     100444      0.004      0.000
     59.70        654        654   143048.0       10.0     100445      0.005      0.000
     59.80        816        816   163512.0       10.0     100446      0.005      0.000
     59.90        990        990   178178.0       10.0     100447      0.006      0.000
     60.00       1107       1107   185436.0       10.0     100448      0.006      0.000
     60.10        995        995   184024.0       10.0     100449      0.005      0.000
     60.20        866        866   175609.0       10.0     100450      0.005      0.000
     60.30        702        702   160010.0       10.0     100451      0.004      0.000
     60.40        513        513   138146.0       10.0     100452      0.004      0.000
     60.50        377        377   115590.0       10.0     100453      0.003      0.000
     60.60        274        274    93168.0       10.0     100454      0.003      0.000
     60.70        188        188    73417.0       10.0     100455      0.003      0.000
     60.80        146        146    56726.0       10.0     100456      0.003      0.000
     60.90         90         90    43618.0       10.0     100457      0.002      0.000
     61.00         89         89    33806.0       10.0     100458      0.003      0.000
