#CNTAS Song Tue Jul 15 13:15:16 2014 
#USER: Song 
#DATE: Tue Jul 15 13:15:16 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=0, step=50, end=1500, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   19.96       monho=   40.61          om=    0.00 
#ANGLES:        s2th=   49.32         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  622.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.72         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.59     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      0.00       1033       1033    80409.0       10.0     100572      0.013      0.000
     50.00        985        985    80757.0       10.0     100573      0.012      0.000
    100.00       1038       1038    80649.0       10.0     100574      0.013      0.000
    150.00       1016       1016    81928.0       10.0     100575      0.012      0.000
    200.00       1070       1070    82995.0       10.0     100576      0.013      0.000
    250.00       1023       1023    84047.0       10.0     100578      0.012      0.000
    300.00       1032       1032    86285.0       10.0     100579      0.012      0.000
    350.00       1114       1114    88127.0       10.0     100580      0.013      0.000
    400.00       1104       1104    90629.0       10.0     100581      0.012      0.000
    450.00       1229       1229    93147.0       10.0     100582      0.013      0.000
    500.00       1182       1182    96490.0       10.0     100583      0.012      0.000
    550.00       1304       1304    99631.0       10.0     100584      0.013      0.000
    600.00       1363       1363   103678.0       10.0     100585      0.013      0.000
    650.00       1419       1419   108471.0       10.0     100586      0.013      0.000
    700.00       1586       1586   112940.0       10.0     100587      0.014      0.000
    750.00       1707       1707   117043.0       10.0     100588      0.015      0.000
    800.00       1759       1759   120409.0       10.0     100589      0.015      0.000
    850.00       1692       1692   124749.0     10.003     100590      0.014      0.000
    900.00       1718       1718   125699.0       10.0     100591      0.014      0.000
    950.00       1748       1748   126732.0       10.0     100592      0.014      0.000
   1000.00       1696       1696   127370.0       10.0     100593      0.013      0.000
   1050.00       1696       1696   127728.0       10.0     100594      0.013      0.000
   1100.00       1626       1626   127560.0       10.0     100595      0.013      0.000
   1150.00       1612       1612   128426.0     10.003     100596      0.013      0.000
   1200.00       1611       1611   126956.0       10.0     100597      0.013      0.000
   1250.00       1568       1568   126871.0       10.0     100598      0.012      0.000
   1300.00       1570       1570   126807.0       10.0     100599      0.012      0.000
   1350.00       1579       1579   126795.0     10.006     100600      0.012      0.000
   1400.00       1555       1555   126234.0       10.0     100601      0.012      0.000
   1450.00       1453       1453   126490.0       10.0     100602      0.011      0.000
   1500.00       1407       1407   127101.0       10.0     100603      0.011      0.000
