#CNTAS Song Tue Jul 15 13:52:32 2014 
#USER: Song 
#DATE: Tue Jul 15 13:52:32 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=monok, start=42.9, step=0.1, end=44.9, time=10)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   43.90       monho=   88.42          om=    0.00 
#ANGLES:        s2th=   49.34         ath=   40.45      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  717.41     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     42.90        140        140    42046.0       10.0     100635      0.003      0.000
     43.00        184        184    53286.0       10.0     100636      0.003      0.000
     43.10        248        248    68430.0       10.0     100637      0.004      0.000
     43.20        325        325    86821.0       10.0     100638      0.004      0.000
     43.30        427        427   109774.0     10.002     100639      0.004      0.000
     43.40        600        600   137049.0       10.0     100640      0.004      0.000
     43.50          0          0    18277.0      1.126     100641      0.000      0.000
     43.60       1161       1161   195553.0       10.0     100642      0.006      0.000
     43.70       1416       1416   221897.0       10.0     100643      0.006      0.000
     43.80       1747       1747   242102.0       10.0     100644      0.007      0.000
     43.90       1822       1822   252259.0       10.0     100645      0.007      0.000
     44.00       1772       1772   250403.0       10.0     100646      0.007      0.000
     44.10       1513       1513   238668.0       10.0     100647      0.006      0.000
     44.20       1233       1233   216788.0       10.0     100648      0.006      0.000
     44.30        905        905   189712.0       10.0     100649      0.005      0.000
     44.40        629        629   159123.0       10.0     100650      0.004      0.000
     44.50        483        483   129072.0       10.0     100651      0.004      0.000
     44.60        355        355   102709.0       10.0     100652      0.003      0.000
     44.70        257        257    78992.0       10.0     100653      0.003      0.000
     44.80        169        169    61080.0       10.0     100654      0.003      0.000
     44.90        156        156    46776.0       10.0     100655      0.003      0.000
