#CNTAS Song Tue Jul 15 19:52:07 2014 
#USER: Song 
#DATE: Tue Jul 15 19:52:07 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   36.70       monho=   74.03          om=    0.00 
#ANGLES:        s2th= -103.80         ath=    1.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.49     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   -106.20        929        929   404751.0       20.0     100790      0.002      0.000
   -106.00       1050       1050   406236.0       20.0     100791      0.003      0.000
   -105.80       1179       1179   407074.0       20.0     100792      0.003      0.000
   -105.60       1305       1305   404394.0     20.005     100793      0.003      0.000
   -105.40       1507       1507   405197.0       20.0     100794      0.004      0.000
   -105.20       1606       1606   406058.0       20.0     100795      0.004      0.000
   -105.00       1710       1710   402872.0       20.0     100796      0.004      0.000
   -104.80       1855       1855   403247.0       20.0     100797      0.005      0.000
   -104.60       1942       1942   404133.0     20.004     100798      0.005      0.000
   -104.40       1955       1955   404519.0       20.0     100799      0.005      0.000
   -104.20       1919       1919   404077.0       20.0     100800      0.005      0.000
   -104.00       1715       1715   405280.0       20.0     100801      0.004      0.000
   -103.80       1540       1540   405420.0       20.0     100802      0.004      0.000
   -103.60       1471       1471   405715.0       20.0     100803      0.004      0.000
   -103.40       1230       1230   403573.0       20.0     100804      0.003      0.000
   -103.20       1108       1108   404602.0       20.0     100805      0.003      0.000
   -103.00        947        947   404029.0       20.0     100806      0.002      0.000
   -102.80        894        894   404461.0       20.0     100807      0.002      0.000
   -102.60        919        919   403196.0       20.0     100808      0.002      0.000
   -102.40        973        973   404136.0       20.0     100809      0.002      0.000
   -102.20       1004       1004   405676.0       20.0     100810      0.002      0.000
   -102.00       1133       1133   404421.0       20.0     100811      0.003      0.000
   -101.80       1325       1325   404193.0       20.0     100813      0.003      0.000
   -101.60       1533       1533   403731.0       20.0     100814      0.004      0.000
   -101.40       1661       1661   405131.0       20.0     100815      0.004      0.000
