#CNTAS Song Tue Jul 15 20:31:38 2014 
#USER: Song 
#DATE: Tue Jul 15 20:31:38 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   36.70       monho=   74.03          om=    0.00 
#ANGLES:        s2th=  102.40         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.36     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    100.00        875        875   403233.0       20.0     100844      0.002      0.000
    100.20       1115       1115   402564.0       20.0     100845      0.003      0.000
    100.40       1448       1448   403348.0       20.0     100846      0.004      0.000
    100.60       1870       1870   404592.0     20.001     100847      0.005      0.000
    100.80       2266       2266   403820.0     20.003     100848      0.006      0.000
    101.00       2397       2397   402190.0       20.0     100849      0.006      0.000
    101.20       2450       2450   403987.0       20.0     100850      0.006      0.000
    101.40       1989       1989   403508.0       20.0     100851      0.005      0.000
    101.60       1708       1708   401829.0       20.0     100852      0.004      0.000
    101.80       1347       1347   403641.0       20.0     100853      0.003      0.000
    102.00       1061       1061   402763.0       20.0     100854      0.003      0.000
    102.20        867        866   403809.0       20.0     100855      0.002      0.000
    102.40        789        789   402561.0       20.0     100856      0.002      0.000
    102.60        702        702   403090.0       20.0     100857      0.002      0.000
    102.80        682        682   402717.0       20.0     100858      0.002      0.000
    103.00        707        707   404145.0       20.0     100859      0.002      0.000
    103.20        687        686   402235.0       20.0     100860      0.002      0.000
    103.40        777        777   403034.0       20.0     100861      0.002      0.000
    103.60        817        817   403936.0       20.0     100862      0.002      0.000
    103.80       1008       1008   402067.0       20.0     100863      0.003      0.000
    104.00       1182       1182   402705.0       20.0     100864      0.003      0.000
    104.20       1513       1513   402610.0       20.0     100865      0.004      0.000
    104.40       1711       1711   403593.0       20.0     100866      0.004      0.000
    104.60       1923       1923   402257.0       20.0     100867      0.005      0.000
    104.80       1980       1980   405367.0       20.0     100868      0.005      0.000
