#CNTAS Song Tue Jul 15 21:30:05 2014 
#USER: Song 
#DATE: Tue Jul 15 21:30:05 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   29.50       monho=   59.63          om=    0.00 
#ANGLES:        s2th= -100.80         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.29     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   -103.20       2661       2660   386653.0       20.0     100923      0.007      0.000
   -103.00       2725       2725   384413.0       20.0     100924      0.007      0.000
   -102.80       2910       2909   386208.0       20.0     100925      0.008      0.000
   -102.60       3057       3057   387528.0       20.0     100926      0.008      0.000
   -102.40       3155       3155   388443.0       20.0     100927      0.008      0.000
   -102.20       3266       3266   388430.0       20.0     100928      0.008      0.000
   -102.00       3270       3270   386232.0       20.0     100929      0.008      0.000
   -101.80       3391       3391   385143.0       20.0     100930      0.009      0.000
   -101.60       3536       3536   385976.0       20.0     100932      0.009      0.000
   -101.40       3565       3565   385818.0       20.0     100933      0.009      0.000
   -101.20       3669       3669   385006.0       20.0     100934      0.010      0.000
   -101.00       3740       3740   386981.0       20.0     100935      0.010      0.000
   -100.80       3756       3756   385583.0       20.0     100936      0.010      0.000
   -100.60       3919       3919   384426.0       20.0     100937      0.010      0.000
   -100.40       3897       3897   386979.0       20.0     100938      0.010      0.000
   -100.20       3710       3710   388267.0       20.0     100939      0.010      0.000
   -100.00         27         27    20189.0      1.054     100940      0.001      0.000
    -99.80          0          0    19462.0      1.017     100941      0.000      0.000
    -99.60       2529       2529   387039.0       20.0     100942      0.007      0.000
    -99.40       2197       2197   385305.0       20.0     100943      0.006      0.000
    -99.20       1681       1681   383292.0       20.0     100944      0.004      0.000
    -99.00       1495       1495   387550.0       20.0     100945      0.004      0.000
    -98.80       1195       1195   386338.0       20.0     100946      0.003      0.000
    -98.60       1071       1071   386521.0     20.005     100947      0.003      0.000
    -98.40        960        960   385102.0       20.0     100948      0.002      0.000
