#CNTAS Song Tue Jul 15 22:07:43 2014 
#USER: Song 
#DATE: Tue Jul 15 22:07:43 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.4, step=0.2, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.29          om=    0.00 
#ANGLES:        s2th=  -44.60         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.21     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -47.00        610        610   321761.0       20.0     100977      0.002      0.000
    -46.80        609        609   322921.0       20.0     100978      0.002      0.000
    -46.60        554        554   318468.0       20.0     100979      0.002      0.000
    -46.40        570        570   319645.0       20.0     100981      0.002      0.000
    -46.20        593        593   318471.0       20.0     100982      0.002      0.000
    -46.00        613        613   318513.0       20.0     100983      0.002      0.000
    -45.80        644        644   319045.0     20.005     100984      0.002      0.000
    -45.60        646        646   318890.0       20.0     100985      0.002      0.000
    -45.40        804        804   320858.0       20.0     100986      0.003      0.000
    -45.20       1087       1087   320207.0       20.0     100987      0.003      0.000
    -45.00       1306       1306   318678.0       20.0     100988      0.004      0.000
    -44.80       1729       1729   319869.0       20.0     100989      0.005      0.000
    -44.60       2071       2071   316766.0       20.0     100990      0.007      0.000
    -44.40       2361       2361   320449.0       20.0     100991      0.007      0.000
    -44.20       2525       2525   320227.0       20.0     100992      0.008      0.000
    -44.00       2283       2283   320084.0       20.0     100993      0.007      0.000
    -43.80       2025       2025   319423.0       20.0     100994      0.006      0.000
    -43.60       1662       1662   319734.0       20.0     100995      0.005      0.000
    -43.40       1215       1215   318889.0       20.0     100996      0.004      0.000
    -43.20        833        833   318672.0       20.0     100997      0.003      0.000
    -43.00        755        755   319308.0       20.0     100998      0.002      0.000
    -42.80        632        632   320034.0       20.0     100999      0.002      0.000
    -42.60        594        594   320965.0       20.0     101000      0.002      0.000
    -42.40        633        633   320004.0       20.0     101001      0.002      0.000
    -42.20        646        646   319269.0       20.0     101002      0.002      0.000
