#CNTAS Song Wed Jul 16 09:19:16 2014 
#USER: Song 
#DATE: Wed Jul 16 09:19:16 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-83.7, step=0.2, end=-110, time=50)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.30          om=    0.00 
#ANGLES:        s2th=  -83.60         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.19     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -83.70       1717       1717   773727.0       50.0     101490      0.002      0.000
    -83.90       1819       1819   774306.0       50.0     101492      0.002      0.000
    -84.10       1816       1816   775710.0       50.0     101493      0.002      0.000
    -84.30       1768       1768   775115.0       50.0     101494      0.002      0.000
    -84.50       1786       1786   774742.0       50.0     101495      0.002      0.000
    -84.70       1702       1702   772830.0       50.0     101496      0.002      0.000
    -84.90       1768       1768   772128.0       50.0     101497      0.002      0.000
    -85.10       1737       1737   770832.0       50.0     101498      0.002      0.000
    -85.30       1713       1713   770375.0       50.0     101499      0.002      0.000
    -85.50       1785       1785   769400.0       50.0     101500      0.002      0.000
    -85.70       1677       1677   770066.0       50.0     101501      0.002      0.000
    -85.90       1766       1766   771186.0       50.0     101502      0.002      0.000
    -86.10       1700       1700   773533.0       50.0     101503      0.002      0.000
    -86.30       1716       1715   771530.0       50.0     101504      0.002      0.000
    -86.50       1717       1717   774806.0       50.0     101505      0.002      0.000
    -86.70       1791       1791   773458.0       50.0     101506      0.002      0.000
    -86.90       1747       1747   772122.0       50.0     101507      0.002      0.000
    -87.10       1772       1772   771210.0       50.0     101508      0.002      0.000
    -87.30       1737       1737   772456.0       50.0     101509      0.002      0.000
    -87.50       1767       1767   771315.0     50.008     101510      0.002      0.000
    -87.70       1853       1853   769980.0       50.0     101511      0.002      0.000
    -87.90       1925       1925   767928.0       50.0     101512      0.003      0.000
    -88.10       1957       1957   764748.0       50.0     101513      0.003      0.000
    -88.30       2189       2189   765973.0       50.0     101515      0.003      0.000
    -88.50       2552       2552   771497.0       50.0     101516      0.003      0.000
    -88.70       3257       3257   773619.0       50.0     101517      0.004      0.000
    -88.90       4239       4239   765645.0       50.0     101518      0.006      0.000
    -89.10       5842       5842   769603.0       50.0     101519      0.008      0.000
    -89.30       8112       8112   771128.0       50.0     101520      0.011      0.000
    -89.50      11265      11265   772959.0       50.0     101521      0.015      0.000
    -89.70      14839      14839   764093.0       50.0     101522      0.019      0.000
    -89.90      18993      18992   767833.0       50.0     101523      0.025      0.000
    -90.10      23100      23100   767113.0       50.0     101524      0.030      0.000
    -90.30      26444      26444   768401.0       50.0     101525      0.034      0.000
    -90.50      29173      29173   767261.0       50.0     101526      0.038      0.000
    -90.70      30601      30601   765791.0       50.0     101527      0.040      0.000
    -90.90      30738      30738   766859.0       50.0     101528      0.040      0.000
    -91.10      29636      29635   770149.0       50.0     101529      0.038      0.000
    -91.30      28373      28372   770261.0       50.0     101531      0.037      0.000
    -91.50      25482      25482   771014.0     50.008     101532      0.033      0.000
    -91.70      22653      22652   769754.0       50.0     101533      0.029      0.000
    -91.90      19813      19813   768471.0       50.0     101534      0.026      0.000
    -92.10      16539      16539   769889.0       50.0     101535      0.021      0.000
    -92.30      13497      13497   764329.0       50.0     101536      0.018      0.000
    -92.50      10674      10674   766745.0       50.0     101537      0.014      0.000
    -92.70       7894       7894   765852.0       50.0     101538      0.010      0.000
    -92.90       5994       5994   765359.0       50.0     101539      0.008      0.000
    -93.10       4550       4550   766928.0       50.0     101540      0.006      0.000
    -93.30       3406       3406   766840.0       50.0     101541      0.004      0.000
    -93.50       2694       2694   768552.0       50.0     101542      0.004      0.000
    -93.70       2293       2293   764193.0       50.0     101543      0.003      0.000
    -93.90       2205       2205   765400.0       50.0     101544      0.003      0.000
    -94.10       2003       2003   765641.0       50.0     101545      0.003      0.000
    -94.30       1976       1976   763612.0     50.008     101547      0.003      0.000
    -94.50       1935       1935   769657.0       50.0     101548      0.003      0.000
    -94.70       1997       1997   765809.0       50.0     101549      0.003      0.000
    -94.90       1936       1936   762365.0       50.0     101550      0.003      0.000
    -95.10       1988       1988   764402.0       50.0     101551      0.003      0.000
    -95.30       1857       1857   766223.0       50.0     101552      0.002      0.000
    -95.50       1848       1848   768304.0       50.0     101553      0.002      0.000
    -95.70       1916       1916   768384.0       50.0     101554      0.002      0.000
    -95.90       1991       1991   765149.0       50.0     101555      0.003      0.000
    -96.10       2029       2029   764870.0       50.0     101556      0.003      0.000
