#CNTAS Song Wed Jul 16 12:12:40 2014 
#USER: Song 
#DATE: Wed Jul 16 12:12:40 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-95, step=0.2, end=-100, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.30          om=    0.00 
#ANGLES:        s2th=  -98.00         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.16     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -95.00        300        300   300581.0     20.001     101638      0.001      0.000
    -95.20        298        298   298747.0       20.0     101639      0.001      0.000
    -95.40        331        331   299840.0       20.0     101640      0.001      0.000
    -95.60        324        324   299829.0       20.0     101641      0.001      0.000
    -95.80        354        354   299625.0       20.0     101642      0.001      0.000
    -96.00        351        351   299501.0     20.004     101643      0.001      0.000
    -96.20        374        374   299693.0       20.0     101644      0.001      0.000
    -96.40        457        457   299954.0     20.005     101645      0.002      0.000
    -96.60        596        596   300341.0       20.0     101646      0.002      0.000
    -96.80        802        802   300804.0       20.0     101647      0.003      0.000
    -97.00       1053       1053   299803.0       20.0     101648      0.004      0.000
    -97.20       1357       1357   299120.0       20.0     101650      0.005      0.000
    -97.40       1657       1657   299689.0       20.0     101651      0.006      0.000
    -97.60       1945       1945   298427.0       20.0     101652      0.007      0.000
    -97.80       2107       2107   298344.0     20.003     101653      0.007      0.000
    -98.00       2217       2217   300949.0       20.0     101654      0.007      0.000
    -98.20       2266       2266   299422.0       20.0     101655      0.008      0.000
    -98.40       2195       2195   300426.0       20.0     101656      0.007      0.000
    -98.60       2141       2141   300186.0       20.0     101657      0.007      0.000
    -98.80       1919       1919   300722.0       20.0     101658      0.006      0.000
    -99.00       1707       1707   300247.0       20.0     101659      0.006      0.000
    -99.20       1626       1626   300299.0       20.0     101660      0.005      0.000
    -99.40       1407       1407   298801.0       20.0     101661      0.005      0.000
    -99.60       1272       1272   298582.0       20.0     101662      0.004      0.000
    -99.80       1107       1107   299199.0       20.0     101663      0.004      0.000
   -100.00        942        942   300335.0       20.0     101664      0.003      0.000
