#CNTAS Song Wed Jul 16 12:30:12 2014 
#USER: Song 
#DATE: Wed Jul 16 12:30:12 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-106, step=0.2, end=-115, time=50)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.30          om=    0.00 
#ANGLES:        s2th= -100.00         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.16     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   -106.00        827        827   745825.0       50.0     101665      0.001      0.000
   -106.20        820        820   750177.0       50.0     101666      0.001      0.000
   -106.40        815        815   743304.0       50.0     101668      0.001      0.000
   -106.60        814        814   748140.0       50.0     101669      0.001      0.000
   -106.80        846        846   747344.0       50.0     101670      0.001      0.000
   -107.00        815        815   747458.0       50.0     101671      0.001      0.000
   -107.20        842        842   749525.0       50.0     101672      0.001      0.000
   -107.40        834        834   747253.0       50.0     101673      0.001      0.000
   -107.60        925        925   745135.0       50.0     101674      0.001      0.000
   -107.80       1040       1040   746778.0       50.0     101675      0.001      0.000
   -108.00       1185       1185   745862.0       50.0     101676      0.002      0.000
   -108.20       1611       1611   744921.0       50.0     101677      0.002      0.000
   -108.40       2284       2284   747293.0       50.0     101678      0.003      0.000
   -108.60       3494       3494   749738.0     50.006     101679      0.005      0.000
   -108.80       5108       5108   746620.0       50.0     101680      0.007      0.000
   -109.00       7227       7227   743617.0       50.0     101681      0.010      0.000
   -109.20      10119      10119   749597.0       50.0     101682      0.013      0.000
   -109.40      12719      12719   743984.0       50.0     101684      0.017      0.000
   -109.60      15067      15067   745180.0       50.0     101685      0.020      0.000
   -109.80      16991      16991   742578.0       50.0     101686      0.023      0.000
   -110.00      18508      18508   748115.0     50.008     101687      0.025      0.000
   -110.20      19278      19278   746829.0       50.0     101688      0.026      0.000
   -110.40      19654      19654   744117.0       50.0     101689      0.026      0.000
   -110.60      19206      19206   742651.0       50.0     101690      0.026      0.000
   -110.80      18724      18724   745126.0       50.0     101691      0.025      0.000
   -111.00      17844      17844   744536.0       50.0     101692      0.024      0.000
   -111.20      16272      16272   741076.0       50.0     101693      0.022      0.000
   -111.40      14603      14603   744267.0       50.0     101694      0.020      0.000
   -111.60      13010      13010   740570.0       50.0     101695      0.018      0.000
   -111.80      11443      11443   747432.0       50.0     101696      0.015      0.000
   -112.00      10273      10273   744648.0       50.0     101697      0.014      0.000
   -112.20       9252       9252   744802.0       50.0     101698      0.012      0.000
   -112.40       8060       8060   745420.0       50.0     101699      0.011      0.000
   -112.60       6788       6788   741641.0       50.0     101700      0.009      0.000
   -112.80       5285       5285   741559.0       50.0     101701      0.007      0.000
   -113.00       3947       3947   744005.0       50.0     101702      0.005      0.000
   -113.20       2728       2728   745454.0       50.0     101703      0.004      0.000
   -113.40       1864       1864   745483.0     50.007     101704      0.003      0.000
   -113.60       1384       1384   743969.0       50.0     101705      0.002      0.000
   -113.80       1063       1063   739747.0       50.0     101707      0.001      0.000
   -114.00        975        975   741418.0       50.0     101708      0.001      0.000
   -114.20        925        925   743606.0       50.0     101709      0.001      0.000
   -114.40       1038       1038   744518.0       50.0     101710      0.001      0.000
