#CNTAS Song Wed Jul 16 13:28:12 2014 
#USER: Song 
#DATE: Wed Jul 16 13:28:12 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=monok, amplitude=1, step=0.1, time=10)
#STEPS: monok = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   46.30          om=    0.00 
#ANGLES:        s2th=  -90.00         ath=    1.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    5.00 
#ANGLES:         s2Y=    5.00         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.14     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=    0.00       monho=    0.00          om=    0.00 
#ZEROS:        s2th=    0.00         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 #DATA:
#    monok        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     21.83         80         80    21213.0       10.0     101713      0.004      0.000
     21.93        113        113    28515.0       10.0     101714      0.004      0.000
     22.03        125        125    37516.0       10.0     101715      0.003      0.000
     22.13        162        162    49472.0       10.0     101716      0.003      0.000
     22.23        174        174    63711.0       10.0     101717      0.003      0.000
     22.33        223        223    80753.0       10.0     101718      0.003      0.000
     22.43        303        303    99137.0       10.0     101719      0.003      0.000
     22.53        357        357   117206.0       10.0     101720      0.003      0.000
     22.63        476        476   133444.0       10.0     101721      0.004      0.000
     22.73        554        554   143182.0       10.0     101722      0.004      0.000
     22.83        652        652   146671.0       10.0     101723      0.004      0.000
     22.93        668        668   144271.0       10.0     101724      0.005      0.000
     23.03        560        560   134231.0       10.0     101725      0.004      0.000
     23.13        527        527   118209.0       10.0     101726      0.004      0.000
     23.23        451        451    99170.0       10.0     101727      0.005      0.000
     23.33        337        337    79525.0       10.0     101728      0.004      0.000
     23.43        275        275    61573.0       10.0     101729      0.004      0.000
     23.53        231        231    46598.0       10.0     101730      0.005      0.000
     23.63        175        175    34725.0       10.0     101731      0.005      0.000
     23.73        126        126    26042.0       10.0     101732      0.005      0.000
     23.83         88         88    19675.0       10.0     101733      0.004      0.000
