#CNTAS Song Wed Jul 16 23:42:56 2014 
#USER: Song 
#DATE: Wed Jul 16 23:42:56 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.6, step=0.2, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   45.66          om=    1.00 
#ANGLES:        s2th=  -73.80         ath=  -11.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.30     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -76.39       2433       2433   215150.0       15.0     101838      0.011      0.000
    -76.19       1764       1764   213768.0       15.0     101839      0.008      0.000
    -75.99       1033       1033   214222.0       15.0     101841      0.005      0.000
    -75.79        457        457   214327.0     15.003     101842      0.002      0.000
    -75.60        206        206   214618.0       15.0     101843      0.001      0.000
    -75.39        123        123   214286.0       15.0     101844      0.001      0.000
    -75.19         91         91   214178.0       15.0     101845      0.000      0.000
    -75.00        131        131   214694.0       15.0     101846      0.001      0.000
    -74.79        194        194   215801.0       15.0     101847      0.001      0.000
    -74.59        247        247   215225.0       15.0     101848      0.001      0.000
    -74.40        266        266   213377.0       15.0     101849      0.001      0.000
    -74.19        319        319   212536.0       15.0     101850      0.002      0.000
    -73.99        393        393   214115.0       15.0     101851      0.002      0.000
    -73.80        417        417   213541.0       15.0     101852      0.002      0.000
    -73.59        464        464   213425.0       15.0     101853      0.002      0.000
    -73.39        432        432   213436.0       15.0     101854      0.002      0.000
    -73.20        421        421   213670.0       15.0     101855      0.002      0.000
    -72.99        335        335   213489.0       15.0     101856      0.002      0.000
    -72.79        280        280   213530.0       15.0     101857      0.001      0.000
    -72.59        194        194   214177.0       15.0     101858      0.001      0.000
    -72.39        104        104   214130.0       15.0     101859      0.000      0.000
    -72.19         71         71   214349.0       15.0     101860      0.000      0.000
    -71.99         56         56   214683.0     15.004     101861      0.000      0.000
    -71.79         52         52   215581.0       15.0     101862      0.000      0.000
    -71.60         66         66   214733.0       15.0     101863      0.000      0.000
    -71.39         62         62   214169.0       15.0     101864      0.000      0.000
    -71.19         49         49   214432.0       15.0     101865      0.000      0.000
