#CNTAS Song Thu Jul 17 00:16:08 2014 
#USER: Song 
#DATE: Thu Jul 17 00:16:08 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.6, step=0.2, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   22.83       monho=   45.66          om=    1.00 
#ANGLES:        s2th= -108.51         ath=  -11.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.21     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
   -111.10        212        212   214465.0       15.0     101895      0.001      0.000
   -110.90        259        259   213400.0       15.0     101896      0.001      0.000
   -110.70        391        391   214080.0       15.0     101898      0.002      0.000
   -110.50        576        576   213228.0       15.0     101899      0.003      0.000
   -110.30        584        584   213678.0       15.0     101900      0.003      0.000
   -110.10        661        661   213760.0       15.0     101901      0.003      0.000
   -109.90        694        694   214558.0       15.0     101902      0.003      0.000
   -109.70        767        767   213176.0       15.0     101903      0.004      0.000
   -109.50        846        846   213782.0       15.0     101904      0.004      0.000
   -109.30        998        998   213742.0       15.0     101905      0.005      0.000
   -109.10       1121       1121   214217.0       15.0     101906      0.005      0.000
   -108.90       1277       1277   212211.0       15.0     101907      0.006      0.000
   -108.70       1322       1322   211895.0       15.0     101908      0.006      0.000
   -108.50       1345       1345   212126.0       15.0     101910      0.006      0.000
   -108.30       1387       1387   215177.0       15.0     101911      0.006      0.000
   -108.10       1364       1364   215128.0     15.005     101912      0.006      0.000
   -107.90       1360       1360   211277.0     15.003     101913      0.006      0.000
   -107.70       1325       1325   213634.0       15.0     101914      0.006      0.000
   -107.50       1149       1149   214303.0       15.0     101915      0.005      0.000
   -107.30        967        967   214505.0       15.0     101916      0.005      0.000
   -107.10        739        739   212813.0       15.0     101917      0.003      0.000
   -106.90        516        516   211945.0       15.0     101918      0.002      0.000
   -106.70        309        309   212469.0       15.0     101919      0.001      0.000
   -106.50        210        210   213071.0       15.0     101920      0.001      0.000
   -106.30        133        133   213809.0       15.0     101921      0.001      0.000
   -106.10        103        103   214132.0       15.0     101922      0.000      0.000
   -105.90         92         92   213949.0       15.0     101923      0.000      0.000
