#CNTAS Song Thu Jul 17 00:53:07 2014 
#USER: Song 
#DATE: Thu Jul 17 00:53:07 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=s2th, amplitude=2.6, step=0.2, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -56.11         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  999.17     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -58.70         57         57   184976.0     15.003     101954      0.000      0.000
    -58.50         47         47   184844.0       15.0     101955      0.000      0.000
    -58.30         50         50   184685.0       15.0     101957      0.000      0.000
    -58.10         54         54   183810.0       15.0     101958      0.000      0.000
    -57.91         70         70   184298.0       15.0     101959      0.000      0.000
    -57.70         54         54   184669.0       15.0     101960      0.000      0.000
    -57.50         67         67   184336.0       15.0     101961      0.000      0.000
    -57.30         68         68   184630.0       15.0     101962      0.000      0.000
    -57.10         66         66   184797.0       15.0     101963      0.000      0.000
    -56.90        100        100   184521.0       15.0     101964      0.001      0.000
    -56.70        131        131   184533.0       15.0     101965      0.001      0.000
    -56.50        153        153   184738.0       15.0     101966      0.001      0.000
    -56.30        170        170   184405.0       15.0     101967      0.001      0.000
    -56.10        185        185   183544.0       15.0     101968      0.001      0.000
    -55.90        219        219   184028.0       15.0     101969      0.001      0.000
    -55.70        177        177   184427.0       15.0     101970      0.001      0.000
    -55.50        179        179   183768.0       15.0     101971      0.001      0.000
    -55.30        183        183   183961.0       15.0     101972      0.001      0.000
    -55.10        138        138   183492.0       15.0     101973      0.001      0.000
    -54.90         67         67   183348.0       15.0     101974      0.000      0.000
    -54.70         46         46   184466.0       15.0     101976      0.000      0.000
    -54.50         62         62   184766.0       15.0     101977      0.000      0.000
    -54.30         51         51   185144.0       15.0     101978      0.000      0.000
    -54.10         66         66   184265.0       15.0     101979      0.000      0.000
    -53.91         60         60   183536.0       15.0     101980      0.000      0.000
    -53.70         53         53   183423.0       15.0     101981      0.000      0.000
    -53.50         67         67   183132.0       15.0     101982      0.000      0.000
