#CNTAS Song Thu Jul 17 10:19:09 2014 
#USER: Song 
#DATE: Thu Jul 17 10:19:09 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-93.7, step=0.3, end=-100.3, time=15)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -90.70         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.66     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -93.70        152        152   173304.0       15.0     102233      0.001      0.000
    -94.00        181        181   173133.0       15.0     102234      0.001      0.000
    -94.30        172        172   172932.0       15.0     102235      0.001      0.000
    -94.60        149        149   172691.0       15.0     102236      0.001      0.000
    -94.90        180        180   172426.0       15.0     102237      0.001      0.000
    -95.20        180        180   173391.0       15.0     102238      0.001      0.000
    -95.50        246        246   173275.0       15.0     102239      0.001      0.000
    -95.80        498        498   172551.0       15.0     102241      0.003      0.000
    -96.10        845        845   172189.0       15.0     102242      0.005      0.000
    -96.40       1091       1091   171436.0       15.0     102243      0.006      0.000
    -96.70       1167       1167   170949.0       15.0     102244      0.007      0.000
    -97.00       1217       1217   171438.0       15.0     102245      0.007      0.000
    -97.30       1065       1065   170439.0       15.0     102246      0.006      0.000
    -97.60       1056       1056   171133.0       15.0     102247      0.006      0.000
    -97.90        903        903   171587.0       15.0     102248      0.005      0.000
    -98.20        763        763   173285.0       15.0     102249      0.004      0.000
    -98.50        625        625   173085.0       15.0     102251      0.004      0.000
    -98.80        586        586   172065.0       15.0     102252      0.003      0.000
    -99.10        426        426   172226.0       15.0     102253      0.002      0.000
    -99.40        292        292   172435.0       15.0     102254      0.002      0.000
    -99.70        194        194   172358.0       15.0     102255      0.001      0.000
   -100.00        176        176   171695.0       15.0     102256      0.001      0.000
   -100.30        220        220   172185.0       15.0     102257      0.001      0.000
