#CNTAS Song Thu Jul 17 10:33:47 2014 
#USER: Song 
#DATE: Thu Jul 17 10:33:47 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-64, step=0.3, end=-74, time=10)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th= -100.30         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.64     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -64.00         80         80   114212.0       10.0     102259      0.001      0.000
    -64.30         60         60   114637.0       10.0     102260      0.001      0.000
    -64.60         83         83   114373.0       10.0     102261      0.001      0.000
    -64.90         91         91   114168.0       10.0     102262      0.001      0.000
    -65.20         88         88   114642.0       10.0     102263      0.001      0.000
    -65.50         62         62   114347.0       10.0     102264      0.001      0.000
    -65.80        102        102   114382.0       10.0     102265      0.001      0.000
    -66.10         80         80   113814.0       10.0     102266      0.001      0.000
    -66.40        167        167   114166.0       10.0     102267      0.001      0.000
    -66.70        246        246   114326.0       10.0     102268      0.002      0.000
    -67.00        276        276   115026.0       10.0     102269      0.002      0.000
    -67.30        289        289   114373.0       10.0     102270      0.003      0.000
    -67.60        254        254   113977.0       10.0     102271      0.002      0.000
    -67.90        197        197   114109.0       10.0     102272      0.002      0.000
    -68.20        161        161   113933.0       10.0     102273      0.001      0.000
    -68.50        153        153   113646.0       10.0     102274      0.001      0.000
    -68.80        126        126   113936.0       10.0     102275      0.001      0.000
    -69.10        237        237   115164.0       10.0     102276      0.002      0.000
    -69.40        720        720   114697.0       10.0     102277      0.006      0.000
    -69.70       1400       1400   115023.0       10.0     102278      0.012      0.000
    -70.00       1638       1638   114328.0       10.0     102279      0.014      0.000
    -70.30       1539       1539   114894.0       10.0     102280      0.013      0.000
    -70.60       1486       1486   114263.0       10.0     102281      0.013      0.000
    -70.90       1198       1198   114172.0       10.0     102282      0.010      0.000
    -71.20        844        844   114762.0       10.0     102283      0.007      0.000
    -71.50        617        617   114360.0       10.0     102284      0.005      0.000
    -71.80        284        284   114526.0       10.0     102285      0.002      0.000
    -72.10        111        111   114277.0       10.0     102286      0.001      0.000
    -72.40         93         93   113828.0       10.0     102287      0.001      0.000
    -72.70         89         89   113744.0       10.0     102288      0.001      0.000
    -73.00         79         79   114053.0       10.0     102289      0.001      0.000
    -73.30         85         85   113925.0       10.0     102290      0.001      0.000
    -73.60         85         85   114168.0       10.0     102291      0.001      0.000
    -73.90         90         90   114129.0       10.0     102292      0.001      0.000
