#CNTAS Song Thu Jul 17 11:28:11 2014 
#USER: Song 
#DATE: Thu Jul 17 11:28:11 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-38, step=0.2, end=-42, time=15)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -42.00         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.56     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -38.00         44         44    35091.0       15.0     102338      0.001      0.000
    -38.20         49         49    35153.0       15.0     102339      0.001      0.000
    -38.40         55         55    34972.0       15.0     102341      0.002      0.000
    -38.60         59         59    35037.0       15.0     102342      0.002      0.000
    -38.80         55         55    34602.0       15.0     102343      0.002      0.000
    -39.00         46         46    35095.0       15.0     102344      0.001      0.000
    -39.20         59         59    34932.0       15.0     102345      0.002      0.000
    -39.40         53         53    34955.0       15.0     102346      0.002      0.000
    -39.60         51         51    34875.0       15.0     102347      0.001      0.000
    -39.80         59         59    34565.0       15.0     102348      0.002      0.000
    -40.00        137        137    34763.0       15.0     102349      0.004      0.000
    -40.20        154        154    34603.0       15.0     102350      0.004      0.000
    -40.40        175        175    34841.0       15.0     102351      0.005      0.000
    -40.60        155        155    34618.0       15.0     102353      0.004      0.000
    -40.80        122        122    34624.0       15.0     102354      0.004      0.000
    -41.00        116        116    34540.0       15.0     102355      0.003      0.000
    -41.20         63         63    34781.0       15.0     102356      0.002      0.000
    -41.40         56         56    34964.0       15.0     102357      0.002      0.000
    -41.60         54         54    35228.0       15.0     102358      0.002      0.000
    -41.80         40         40    34528.0       15.0     102359      0.001      0.000
    -42.00         53         53    34646.0       15.0     102360      0.002      0.000
