#CNTAS Song Thu Jul 17 11:43:29 2014 
#USER: Song 
#DATE: Thu Jul 17 11:43:29 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-54, step=0.2, end=-58.5, time=20)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th=  -42.00         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.53     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -54.00         67         67    46076.0       20.0     102362      0.001      0.000
    -54.20         71         71    45791.0       20.0     102363      0.002      0.000
    -54.40         59         59    45871.0       20.0     102364      0.001      0.000
    -54.60         76         76    45925.0       20.0     102365      0.002      0.000
    -54.80         60         60    46080.0       20.0     102366      0.001      0.000
    -55.00         82         82    46031.0       20.0     102368      0.002      0.000
    -55.20         67         67    45970.0       20.0     102369      0.001      0.000
    -55.40         76         76    45644.0       20.0     102370      0.002      0.000
    -55.60         77         77    46263.0       20.0     102371      0.002      0.000
    -55.80        130        130    45903.0       20.0     102372      0.003      0.000
    -56.00        160        160    46149.0       20.0     102373      0.003      0.000
    -56.20        171        171    46136.0       20.0     102374      0.004      0.000
    -56.40        157        157    45966.0       20.0     102375      0.003      0.000
    -56.60        137        137    45711.0       20.0     102377      0.003      0.000
    -56.80        142        142    45548.0       20.0     102378      0.003      0.000
    -57.00        101        101    45631.0       20.0     102379      0.002      0.000
    -57.20         96         96    45634.0       20.0     102380      0.002      0.000
    -57.40         83         83    46003.0       20.0     102381      0.002      0.000
    -57.60         80         80    45852.0       20.0     102382      0.002      0.000
    -57.80         77         77    45913.0       20.0     102383      0.002      0.000
    -58.00         81         81    46290.0       20.0     102384      0.002      0.000
    -58.20         60         60    46248.0       20.0     102386      0.001      0.000
    -58.40         67         67    46342.0       20.0     102387      0.001      0.000
