#CNTAS Song Thu Jul 17 13:50:39 2014 
#USER: Song 
#DATE: Thu Jul 17 13:50:39 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=strY, start=-45, step=5, end=45, time=40)
#STEPS: strY = 5  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    1.00 
#ANGLES:        s2th= -101.00         ath=  -11.00      detang=   -0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     strY        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -45.00        230        230    91433.0       40.0     102474      0.003      0.000
    -40.00        221        221    90736.0       40.0     102475      0.002      0.000
    -35.00        231        231    90217.0       40.0     102476      0.003      0.000
    -30.00        247        247    90447.0       40.0     102477      0.003      0.000
    -25.00        222        222    90568.0       40.0     102478      0.002      0.000
    -20.00        235        235    91029.0       40.0     102479      0.003      0.000
    -15.00        318        318    91051.0       40.0     102480      0.003      0.000
    -10.00        437        437    90990.0       40.0     102481      0.005      0.000
     -5.00        447        447    91518.0       40.0     102482      0.005      0.000
      0.00        416        416    90548.0       40.0     102483      0.005      0.000
      5.00        435        435    90880.0       40.0     102484      0.005      0.000
     10.00        418        418    90837.0       40.0     102485      0.005      0.000
     15.00        347        347    90666.0       40.0     102486      0.004      0.000
     20.00        374        374    91745.0       40.0     102487      0.004      0.000
     25.00        377        377    91490.0       40.0     102488      0.004      0.000
     30.00        376        376    90551.0       40.0     102489      0.004      0.000
     35.00        333        333    90932.0       40.0     102490      0.004      0.000
     40.00        335        335    91142.0       40.0     102491      0.004      0.000
     45.00        228        228    91264.0       40.0     102492      0.002      0.000
