#CNTAS Song Thu Jul 17 15:32:27 2014 
#USER: Song 
#DATE: Thu Jul 17 15:32:27 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=ath, amplitude=2, step=0.2, time=15)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.02         ath=   67.01      detang=   41.98 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=  -23.00 
#ANGLES:       antrY=  -25.00        angL=    0.01        angU=    0.01 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.99         17         17    35411.0       15.0     102494      0.000      0.000
     21.19         23         23    34918.0       15.0     102495      0.001      0.000
     21.39         17         17    35060.0       15.0     102496      0.000      0.000
     21.59         18         18    35300.0       15.0     102497      0.001      0.000
     21.79         29         29    35050.0       15.0     102498      0.001      0.000
     21.99         12         12    35149.0       15.0     102499      0.000      0.000
     22.19         17         17    35547.0       15.0     102500      0.000      0.000
     22.39         18         18    35009.0       15.0     102501      0.001      0.000
     22.59         16         16    34909.0       15.0     102502      0.000      0.000
     22.79         20         20    35048.0       15.0     102503      0.001      0.000
     22.99         17         17    35130.0       15.0     102504      0.000      0.000
     23.19         22         22    35114.0       15.0     102505      0.001      0.000
     23.39         14         14    34965.0       15.0     102506      0.000      0.000
     23.59         17         17    34670.0       15.0     102507      0.000      0.000
     23.79         27         27    34992.0       15.0     102508      0.001      0.000
     23.99         19         19    35226.0       15.0     102509      0.001      0.000
     24.19         25         25    34951.0       15.0     102510      0.001      0.000
     24.39         25         25    35257.0       15.0     102511      0.001      0.000
     24.59         17         17    35282.0       15.0     102512      0.000      0.000
     24.79         18         18    35065.0       15.0     102513      0.001      0.000
     24.99         14         14    34878.0       15.0     102514      0.000      0.000
