#CNTAS Song Thu Jul 17 18:58:52 2014 
#USER: Song 
#DATE: Thu Jul 17 18:58:52 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=angL, start=-10, step=1, end=10, time=60)
#STEPS: angL = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.50      detang=   42.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=  -10.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     angL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -10.00        362        362   140660.0       60.0     102721      0.003      0.000
     -9.00        390        390   140816.0       60.0     102722      0.003      0.000
     -8.00        365        365   140901.0       60.0     102723      0.003      0.000
     -7.00        400        400   141018.0       60.0     102724      0.003      0.000
     -6.00        414        414   141294.0       60.0     102725      0.003      0.000
     -5.00        459        459   141577.0       60.0     102726      0.003      0.000
     -4.00        473        473   142360.0       60.0     102727      0.003      0.000
     -3.00        451        451   141715.0       60.0     102728      0.003      0.000
     -2.00        454        454   141860.0       60.0     102729      0.003      0.000
     -1.00        465        465   141363.0       60.0     102730      0.003      0.000
      0.00        481        481   141689.0       60.0     102731      0.003      0.000
      1.00        473        473   141833.0       60.0     102732      0.003      0.000
      2.00        468        468   140765.0       60.0     102733      0.003      0.000
      3.00        481        481   141907.0       60.0     102734      0.003      0.000
      4.00        426        426   141117.0       60.0     102735      0.003      0.000
      5.00        421        421   141610.0       60.0     102736      0.003      0.000
      6.00        446        446   141134.0       60.0     102737      0.003      0.000
      7.00        436        436   141486.0       60.0     102738      0.003      0.000
      8.00        376        376   141509.0       60.0     102739      0.003      0.000
      9.00        364        364   141831.0       60.0     102741      0.003      0.000
     10.00        377        377   141617.0       60.0     102742      0.003      0.000
