#CNTAS Song Thu Jul 17 19:36:17 2014 
#USER: Song 
#DATE: Thu Jul 17 19:36:17 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=20, step=0.2, end=24, time=15)
#STEPS: ath = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.50      detang=   42.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     20.00         98         98    35546.0       15.0     102745      0.003      0.000
     20.20         93         93    35269.0       15.0     102746      0.003      0.000
     20.40         85         85    35657.0       15.0     102747      0.002      0.000
     20.60        113        113    35342.0       15.0     102748      0.003      0.000
     20.80        128        128    35595.0       15.0     102749      0.004      0.000
     21.00        126        126    35338.0       15.0     102750      0.004      0.000
     21.20        139        139    35315.0       15.0     102751      0.004      0.000
     21.40        181        181    35516.0       15.0     102752      0.005      0.000
     21.60        178        178    35454.0       15.0     102753      0.005      0.000
     21.80        155        155    35515.0       15.0     102754      0.004      0.000
     22.00        132        132    35520.0       15.0     102755      0.004      0.000
     22.20        125        125    35853.0       15.0     102756      0.003      0.000
     22.40         94         94    35641.0       15.0     102757      0.003      0.000
     22.60         94         94    35747.0       15.0     102758      0.003      0.000
     22.80         89         89    35698.0       15.0     102759      0.002      0.000
     23.00        104        104    35504.0       15.0     102760      0.003      0.000
     23.20         92         92    35810.0       15.0     102761      0.003      0.000
     23.40         99         99    35065.0       15.0     102762      0.003      0.000
     23.60        105        105    35619.0       15.0     102763      0.003      0.000
     23.80         80         80    35397.0       15.0     102764      0.002      0.000
     24.00         87         87    35230.0       15.0     102765      0.002      0.000
