#CNTAS Song Thu Jul 17 21:36:42 2014 
#USER: Song 
#DATE: Thu Jul 17 21:36:42 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=detang, start=45, step=0.3, end=39, time=20)
#STEPS: detang = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   20.99       monho=   41.98          om=    2.00 
#ANGLES:        s2th= -101.04         ath=   21.52      detang=   43.20 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.30       monho=    0.05          om=    0.00 
#ZEROS:        s2th=    0.01         ath=    0.00      detang=    0.00 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     45.00        362         41    47649.0       20.0     102790      0.001      0.000
     44.70        353         51    47802.0       20.0     102791      0.001      0.000
     44.40        373         59    47413.0       20.0     102792      0.001      0.000
     44.10        340         75    47412.0       20.0     102793      0.002      0.000
     43.80        375        121    47494.0       20.0     102794      0.003      0.000
     43.50        326        153    47691.0       20.0     102795      0.003      0.000
     43.20        372        189    48207.0       20.0     102796      0.004      0.000
     42.90        365        223    47637.0       20.0     102797      0.005      0.000
     42.60        349        222    47681.0       20.0     102798      0.005      0.000
     42.30        372        251    47856.0       20.0     102799      0.005      0.000
     42.00        360        252    47755.0       20.0     102800      0.005      0.000
     41.70        391        266    47873.0       20.0     102801      0.006      0.000
     41.40        335        222    47951.0       20.0     102802      0.005      0.000
     41.10        357        217    47940.0       20.0     102803      0.005      0.000
     40.80        396        234    47742.0       20.0     102804      0.005      0.000
     40.50        381        189    47582.0       20.0     102805      0.004      0.000
     40.20        375        141    47690.0       20.0     102806      0.003      0.000
     39.90        380        105    47616.0       20.0     102807      0.002      0.000
     39.60        339         49    48187.0       20.0     102808      0.001      0.000
     39.30        392         48    47840.0       20.0     102809      0.001      0.000
     39.00        387         49    47450.0       20.0     102810      0.001      0.000
