#CNTAS Song Fri Jul 18 18:07:19 2014 
#USER: Song 
#DATE: Fri Jul 18 18:07:19 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-30, step=0.3, end=-36, time=10)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.58       monho=   35.29          om=    2.00 
#ANGLES:        s2th=  -33.40         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.42     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.38       monho=   -0.11          om=    0.00 
#ZEROS:        s2th=    0.01         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -30.00         22         17    12446.0       10.0     103478      0.001      0.000
    -30.30         28         20    12462.0       10.0     103479      0.002      0.000
    -30.60         27         17    12314.0       10.0     103480      0.001      0.000
    -30.90         27         22    12362.0     10.008     103481      0.002      0.000
    -31.20         21         17    12659.0       10.0     103482      0.001      0.000
    -31.50         31         19    12449.0     10.005     103483      0.002      0.000
    -31.80         28         17    12638.0       10.0     103484      0.001      0.000
    -32.10         32         23    12509.0       10.0     103485      0.002      0.000
    -32.40         43         31    12375.0       10.0     103486      0.003      0.000
    -32.70         51         34    12357.0       10.0     103487      0.003      0.000
    -33.00         60         50    12599.0       10.0     103488      0.004      0.001
    -33.30        100         89    12152.0       10.0     103489      0.007      0.001
    -33.60         75         69    12385.0       10.0     103490      0.006      0.001
    -33.90         64         53    12407.0       10.0     103491      0.004      0.001
    -34.20         54         47    12249.0       10.0     103492      0.004      0.001
    -34.50         27         21    12613.0       10.0     103493      0.002      0.000
    -34.80         23         17    12359.0       10.0     103494      0.001      0.000
    -35.10         19         12    12369.0       10.0     103495      0.001      0.000
    -35.40         27         19    12597.0       10.0     103496      0.002      0.000
    -35.70         25         14    12672.0       10.0     103497      0.001      0.000
    -36.00         23         13    12541.0       10.0     103498      0.001      0.000
