#CNTAS Song Fri Jul 18 19:05:14 2014 
#USER: Song 
#DATE: Fri Jul 18 19:05:14 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-52.4, step=0.3, end=-59.7, time=30)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.58       monho=   35.29          om=    2.00 
#ANGLES:        s2th=  -52.50         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.37     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.38       monho=   -0.11          om=    0.00 
#ZEROS:        s2th=    0.01         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -52.40         65         41    37792.0       30.0     103580      0.001      0.000
    -52.70         68         44    37688.0       30.0     103582      0.001      0.000
    -53.00         77         59    37338.0       30.0     103583      0.002      0.000
    -53.30         75         49    37819.0       30.0     103584      0.001      0.000
    -53.60          7          0     2260.0      1.811     103588      0.000      0.000
    -53.60         79         44    37389.0       30.0     103590      0.001      0.000
    -54.20        127         74    37739.0       30.0     103592      0.002      0.000
    -54.50        218        145    37952.0       30.0     103594      0.004      0.000
    -54.50        188        133    37699.0       30.0     103595      0.004      0.000
    -55.10        305        244    37675.0       30.0     103596      0.006      0.000
    -55.40        307        247    38042.0       30.0     103598      0.006      0.000
    -55.70        257        213    37590.0       30.0     103599      0.006      0.000
    -56.00        285        184    37679.0       30.0     103600      0.005      0.000
    -56.30        398        202    37917.0       30.0     103602      0.005      0.000
    -56.60        773        502    37760.0       30.0     103603      0.013      0.001
    -56.90       1294        988    38145.0       30.0     103604      0.026      0.001
    -57.20       1680       1419    37698.0       30.0     103606      0.038      0.001
    -57.50       1905       1698    37930.0       30.0     103608      0.045      0.001
    -57.80       1737       1561    38004.0       30.0     103609      0.041      0.001
    -58.10       1338       1232    37707.0       30.0     103610      0.033      0.001
    -58.40        972        882    37702.0       30.0     103611      0.023      0.001
    -58.70        502        451    37955.0       30.0     103617      0.012      0.001
    -59.00        271        219    38280.0       30.0     103620      0.006      0.000
    -59.30        137        104    37824.0       30.0     103621      0.003      0.000
    -59.60         82         50    37347.0       30.0     103622      0.001      0.000
