#CNTAS Song Fri Jul 18 20:48:37 2014 
#USER: Song 
#DATE: Fri Jul 18 20:48:37 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=16.44, step=0.1, end=18.44, time=10)
#STEPS: ath = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=    2.00 
#ANGLES:        s2th=  -74.68         ath=   18.20      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.30     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=    0.00      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     16.44         13          3    12615.0       10.0     103672      0.000      0.000
     16.54         22          4    12620.0       10.0     103674      0.000      0.000
     16.64         30          9    12617.0       10.0     103675      0.001      0.000
     16.74         18          6    12693.0       10.0     103680      0.000      0.000
     16.84         19         10    12609.0       10.0     103681      0.001      0.000
     16.94         35         21    12611.0       10.0     103682      0.002      0.000
     17.04         31         14    12623.0       10.0     103683      0.001      0.000
     17.14         46         28    12534.0       10.0     103686      0.002      0.000
     17.24         49         29    12593.0       10.0     103687      0.002      0.000
     17.34         49         40    12561.0       10.0     103688      0.003      0.001
     17.44         42         29    12673.0       10.0     103689      0.002      0.000
     17.54         49         36    12442.0       10.0     103690      0.003      0.000
     17.64         60         39    12365.0       10.0     103691      0.003      0.001
     17.74         58         48    12523.0       10.0     103692      0.004      0.001
     17.84         69         51    12636.0       10.0     103693      0.004      0.001
     17.94         77         64    12741.0     10.001     103694      0.005      0.001
     18.04         58         45    12558.0       10.0     103695      0.004      0.001
     18.14         68         58    12761.0       10.0     103696      0.005      0.001
     18.24         63         56    12766.0       10.0     103697      0.004      0.001
     18.34         45         32    12576.0     10.008     103698      0.003      0.000
     18.44         52         34    12685.0       10.0     103699      0.003      0.000
