#CNTAS Song Sat Jul 19 01:06:59 2014 
#USER: Song 
#DATE: Sat Jul 19 01:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=350, step=0.2, end=10, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  350.00 
#ANGLES:        s2th=  -59.32         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.65     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    350.00          3          0     6199.0        5.0     104123      0.000      0.000
    349.80          3          2     6233.0        5.0     104124      0.000      0.000
    349.60          4          1     6338.0        5.0     104125      0.000      0.000
    349.40          1          1     6359.0        5.0     104126      0.000      0.000
    349.20          2          1     6213.0        5.0     104127      0.000      0.000
    349.00          6          3     6333.0      5.008     104128      0.000      0.000
    348.80          7          3     6351.0        5.0     104129      0.000      0.000
    348.60          9          4     6489.0        5.0     104130      0.001      0.000
    348.40          2          1     6257.0        5.0     104131      0.000      0.000
    348.20          3          0     6364.0        5.0     104132      0.000      0.000
    348.00          3          0     6411.0        5.0     104133      0.000      0.000
    347.80          4          1     6303.0        5.0     104134      0.000      0.000
    347.60          2          1     6291.0        5.0     104135      0.000      0.000
    347.40          2          0     6313.0        5.0     104136      0.000      0.000
    347.20          1          0     6233.0        5.0     104137      0.000      0.000
    347.00          4          1     6207.0        5.0     104138      0.000      0.000
    346.80          2          1     6349.0        5.0     104139      0.000      0.000
    346.60          1          0     6369.0        5.0     104140      0.000      0.000
    346.40          2          1     6310.0        5.0     104141      0.000      0.000
    346.20          3          2     6171.0        5.0     104142      0.000      0.000
    346.00          4          2     6241.0        5.0     104143      0.000      0.000
    345.80          2          0     6377.0        5.0     104144      0.000      0.000
    345.60          2          2     6263.0        5.0     104145      0.000      0.000
    345.40          2          0     6338.0        5.0     104146      0.000      0.000
    345.20          3          1     6351.0        5.0     104147      0.000      0.000
    345.00          2          0     6399.0        5.0     104148      0.000      0.000
    344.80          4          1     6328.0        5.0     104149      0.000      0.000
    344.60          5          1     6297.0        5.0     104150      0.000      0.000
    344.40          4          1     6284.0        5.0     104151      0.000      0.000
    344.20          3          1     6168.0        5.0     104152      0.000      0.000
    344.00          5          2     6367.0        5.0     104153      0.000      0.000
    343.80          4          0     6328.0        5.0     104154      0.000      0.000
    343.60          4          1     6089.0        5.0     104155      0.000      0.000
    343.40          4          0     6402.0        5.0     104156      0.000      0.000
    343.20          2          0     6242.0        5.0     104157      0.000      0.000
    343.00          1          0     6215.0        5.0     104158      0.000      0.000
    342.80          2          1     6337.0        5.0     104159      0.000      0.000
    342.60          4          1     6184.0        5.0     104160      0.000      0.000
