#CNTAS Song Sat Jul 19 09:39:44 2014 
#USER: Song 
#DATE: Sat Jul 19 09:39:44 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=3, step=0.2, time=1)
#STEPS: sgL = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.07 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -3.74       1468         18     1321.0        1.0     106222      0.014      0.003
     -3.54       1608         42     1191.0        1.0     106223      0.035      0.006
     -3.34       1570         47     1214.0        1.0     106224      0.039      0.006
     -3.14       1387         47     1246.0        1.0     106225      0.038      0.006
     -2.94       1411         91     1265.0        1.0     106226      0.072      0.008
     -2.74       1427        116     1253.0        1.0     106227      0.093      0.009
     -2.54       1327        197     1259.0        1.0     106228      0.156      0.012
     -2.34       1355        257     1213.0        1.0     106229      0.212      0.015
     -2.14       1309        319     1267.0        1.0     106230      0.252      0.016
     -1.94       1170        400     1246.0        1.0     106231      0.321      0.018
     -1.74       1194        558     1174.0        1.0     106232      0.475      0.024
     -1.54       1185        636     1267.0        1.0     106233      0.502      0.024
     -1.34       1254        795     1284.0        1.0     106234      0.619      0.028
     -1.14       1144        852     1283.0        1.0     106235      0.664      0.029
     -0.94       1244        924     1275.0        1.0     106236      0.725      0.031
     -0.74       1119        906     1280.0        1.0     106237      0.708      0.031
     -0.54       1213        990     1270.0        1.0     106238      0.780      0.033
     -0.34       1153        967     1321.0        1.0     106239      0.732      0.031
     -0.14       1105        879     1236.0        1.0     106240      0.711      0.031
      0.06       1066        809     1282.0        1.0     106241      0.631      0.028
      0.26       1110        739     1282.0        1.0     106242      0.576      0.027
      0.46       1098        634     1284.0        1.0     106243      0.494      0.024
      0.66       1065        531     1212.0        1.0     106244      0.438      0.023
      0.86       1138        477     1279.0        1.0     106245      0.373      0.020
      1.06       1260        378     1223.0        1.0     106246      0.309      0.018
      1.26       1229        278     1257.0        1.0     106247      0.221      0.015
      1.46       1307        219     1295.0        1.0     106248      0.169      0.012
      1.66       1321        130     1270.0        1.0     106249      0.102      0.009
      1.86       1482        110     1272.0        1.0     106250      0.086      0.009
      2.06       1405         68     1215.0        1.0     106251      0.056      0.007
      2.26       1500         48     1213.0        1.0     106252      0.040      0.006
