#CNTAS Song Sat Jul 19 09:58:44 2014 
#USER: Song 
#DATE: Sat Jul 19 09:58:44 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=2, step=0.2, time=1)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  207.07 
#ANGLES:        s2th=  -59.61         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -3.00         sgL=   -0.53       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    205.07         21         10     1244.0        1.0     106281      0.008      0.003
    205.27         31         18     1310.0        1.0     106282      0.014      0.003
    205.47         35         20     1225.0        1.0     106283      0.016      0.004
    205.67         41         20     1260.0        1.0     106284      0.016      0.004
    205.87         72         40     1281.0        1.0     106285      0.031      0.005
    206.07        132         79     1287.0        1.0     106286      0.061      0.007
    206.27        235        161     1262.0        1.0     106287      0.128      0.011
    206.47        560        416     1241.0        1.0     106288      0.335      0.019
    206.67       1043        823     1289.0        1.0     106289      0.638      0.028
    206.87       1694       1429     1256.0        1.0     106290      1.138      0.044
    207.07       2313       1960     1277.0        1.0     106291      1.535      0.055
    207.27       1300       1076     1246.0        1.0     106292      0.864      0.036
    207.47        290        232     1282.0        1.0     106293      0.181      0.013
    207.67        101         64     1167.0        1.0     106294      0.055      0.007
    207.87         82         53     1276.0        1.0     106295      0.042      0.006
    208.07         54         27     1250.0        1.0     106296      0.022      0.004
    208.27         57         30     1230.0        1.0     106297      0.024      0.005
    208.47         31         17     1248.0        1.0     106298      0.014      0.003
    208.67         28         13     1287.0        1.0     106299      0.010      0.003
    208.87         27         14     1200.0        1.0     106300      0.012      0.003
