#CNTAS Song Sat Jul 19 10:40:17 2014 
#USER: Song 
#DATE: Sat Jul 19 10:40:17 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=4.8, step=0.2, time=1)
#STEPS: sgL = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  336.50 
#ANGLES:        s2th=  -51.04         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.21     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -5.54        141         22     1232.0        1.0     106408      0.018      0.004
     -5.34        147         21     1267.0        1.0     106409      0.017      0.004
     -5.14        238         25     1223.0        1.0     106410      0.020      0.004
     -4.94        273         27     1264.0        1.0     106411      0.021      0.004
     -4.74        454         26     1254.0        1.0     106412      0.021      0.004
     -4.54        646         24     1304.0        1.0     106413      0.018      0.004
     -4.34        986         37     1247.0        1.0     106414      0.030      0.005
     -4.14       1501         44     1224.0        1.0     106415      0.036      0.006
     -3.94       2044         42     1181.0        1.0     106416      0.036      0.006
     -3.74       2592         60     1309.0        1.0     106417      0.046      0.006
     -3.54       3144         90     1217.0        1.0     106418      0.074      0.008
     -3.34       3323         97     1263.0        1.0     106419      0.077      0.008
     -3.14       3604        118     1222.0        1.0     106420      0.097      0.009
     -2.94       3730        138     1272.0        1.0     106421      0.108      0.010
     -2.74       3632        179     1245.0        1.0     106422      0.144      0.011
     -2.54       3451        227     1262.0        1.0     106423      0.180      0.013
     -2.34       3747        338     1250.0        1.0     106424      0.270      0.017
     -2.14       3457        485     1238.0        1.0     106425      0.392      0.021
     -1.94       3232        680     1267.0        1.0     106426      0.537      0.026
     -1.74       3252       1067     1296.0        1.0     106427      0.823      0.034
     -1.54       3257       1522     1252.0        1.0     106428      1.216      0.046
     -1.34       3530       2062     1207.0        1.0     106429      1.708      0.062
     -1.14       3349       2447     1215.0        1.0     106430      2.014      0.071
     -0.94       3364       2701     1202.0        1.0     106431      2.247      0.078
     -0.74       3307       2666     1251.0        1.0     106432      2.131      0.073
     -0.54       3383       2637     1194.0        1.0     106433      2.209      0.077
     -0.34       3278       2334     1236.0        1.0     106434      1.888      0.066
     -0.14       3243       2030     1301.0        1.0     106435      1.560      0.055
      0.06       3426       1635     1222.0        1.0     106436      1.338      0.051
      0.26       3365       1069     1233.0        1.0     106437      0.867      0.036
      0.46       3533        606     1249.0        1.0     106438      0.485      0.024
      0.66       3538        336     1210.0        1.0     106439      0.278      0.017
      0.86       3573        200     1255.0        1.0     106440      0.159      0.012
      1.06       3617        112     1231.0        1.0     106441      0.091      0.009
      1.26       3579         81     1247.0        1.0     106442      0.065      0.007
      1.46       3420         57     1266.0        1.0     106443      0.045      0.006
      1.66       3488         34     1194.0        1.0     106444      0.028      0.005
      1.86       3448         38     1246.0        1.0     106445      0.030      0.005
      2.06       3148         31     1300.0        1.0     106446      0.024      0.004
      2.26       3030         26     1257.0        1.0     106447      0.021      0.004
      2.46       2525         17     1237.0        1.0     106448      0.014      0.003
      2.66       2253         15     1251.0        1.0     106449      0.012      0.003
      2.86       1769         19     1215.0        1.0     106450      0.016      0.004
      3.06       1343          6     1292.0        1.0     106451      0.005      0.002
      3.26        756          6     1256.0        1.0     106452      0.005      0.002
      3.46        362          3     1191.0        1.0     106453      0.003      0.001
      3.66        273          4     1267.0      1.001     106454      0.003      0.002
      3.86        144          1     1274.0        1.0     106455      0.001      0.001
      4.06         95          2     1218.0        1.0     106456      0.002      0.001
