#CNTAS Song Sat Jul 19 16:46:35 2014 
#USER: Song 
#DATE: Sat Jul 19 16:46:35 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=2, step=0.2, time=2)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  203.53 
#ANGLES:        s2th=  -59.67         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=   -1.80         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.49     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    201.53         10          4     2429.0        2.0     106558      0.002      0.001
    201.73         15          8     2415.0        2.0     106559      0.003      0.001
    201.93         14          3     2393.0        2.0     106560      0.001      0.001
    202.13         14          6     2374.0        2.0     106561      0.003      0.001
    202.33         11          6     2430.0        2.0     106562      0.002      0.001
    202.53         20          8     2352.0        2.0     106563      0.003      0.001
    202.73         20         12     2439.0      2.005     106564      0.005      0.001
    202.93         16         11     2444.0        2.0     106565      0.005      0.001
    203.13         23         17     2362.0        2.0     106566      0.007      0.002
    203.33         18          8     2379.0        2.0     106567      0.003      0.001
    203.53         25         11     2396.0        2.0     106568      0.005      0.001
    203.73         24         17     2429.0        2.0     106569      0.007      0.002
    203.93         26         18     2413.0        2.0     106570      0.007      0.002
    204.13         30         21     2469.0        2.0     106571      0.009      0.002
    204.33         55         37     2403.0      2.007     106572      0.015      0.003
    204.53         37         23     2386.0        2.0     106573      0.010      0.002
    204.73         65         42     2423.0        2.0     106574      0.017      0.003
    204.93         63         42     2414.0        2.0     106575      0.017      0.003
    205.13         56         36     2432.0        2.0     106576      0.015      0.002
    205.33         80         65     2378.0        2.0     106577      0.027      0.003
    205.53         91         62     2433.0        2.0     106578      0.025      0.003
