#CNTAS Song Sun Jul 20 11:44:00 2014 
#USER: Song 
#DATE: Sun Jul 20 11:44:00 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=mgL, amplitude=2.6, step=0.2, time=10)
#STEPS: mgL = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   55.08       monho=  110.16          om=   20.28 
#ANGLES:        s2th=   40.26         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  821.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -1.48        323        160    21899.0       10.0     107340      0.007      0.001
     -1.28        583        285    40368.0       10.0     107341      0.007      0.000
     -1.08       1058        549    65865.0       10.0     107342      0.008      0.000
     -0.88       2009       1054    96039.0     10.008     107343      0.011      0.000
     -0.68       3761       2002   121547.0       10.0     107344      0.016      0.000
     -0.48       5897       3251   139908.0       10.0     107345      0.023      0.000
     -0.28       8374       4695   147837.0       10.0     107346      0.032      0.000
     -0.08      10583       5996   152792.0       10.0     107347      0.039      0.001
      0.12      11482       6656   153408.0       10.0     107348      0.043      0.001
      0.32      11882       6859   153845.0       10.0     107349      0.045      0.001
      0.52      11647       6708   152040.0       10.0     107350      0.044      0.001
      0.72      11188       6437   151264.0       10.0     107351      0.043      0.001
      0.92      10289       5821   150173.0       10.0     107352      0.039      0.001
      1.12       8800       4826   148276.0       10.0     107353      0.033      0.000
      1.32       7313       4090   144439.0       10.0     107354      0.028      0.000
      1.52       5522       3086   134996.0       10.0     107355      0.023      0.000
      1.72       4050       2241   115292.0       10.0     107356      0.019      0.000
      1.92       2620       1420    89825.0       10.0     107357      0.016      0.000
      2.12       1504        834    61200.0       10.0     107358      0.014      0.000
      2.32        924        509    37383.0     10.001     107359      0.014      0.001
      2.52        509        278    20992.0       10.0     107360      0.013      0.001
      2.72        309        183    11335.0       10.0     107361      0.016      0.001
      2.92        229        109     6441.0       10.0     107362      0.017      0.002
      3.12        139         73     3927.0       10.0     107363      0.019      0.002
      3.32        124         70     2742.0       10.0     107364      0.026      0.003
      3.52         99         48     2016.0       10.0     107365      0.024      0.003
      3.72         81         34     1622.0       10.0     107366      0.021      0.004
