#CNTAS Song Sun Jul 20 12:03:00 2014 
#USER: Song 
#DATE: Sun Jul 20 12:03:00 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=500, step=50, end=1500, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   50.00       monho=  100.00          om=   20.28 
#ANGLES:        s2th=   40.08         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  821.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.49         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.06     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    501.00      18263      10678   166286.0       10.0     107368      0.064      0.001
    550.00      19823      11683   170649.0       10.0     107369      0.068      0.001
    600.00      21105      12530   172066.0       10.0     107370      0.073      0.001
    650.00      21125      12483   174083.0       10.0     107371      0.072      0.001
    700.00      20631      12170   174264.0       10.0     107372      0.070      0.001
    750.00      18915      11032   174476.0       10.0     107373      0.063      0.001
    800.00      17113       9980   173540.0       10.0     107374      0.058      0.001
    850.00      14753       8548   173391.0       10.0     107375      0.049      0.001
    900.00      12747       7211   174058.0       10.0     107376      0.041      0.000
    950.00      11207       6350   173756.0       10.0     107377      0.037      0.000
   1000.00      10049       5615   173459.0       10.0     107378      0.032      0.000
   1050.00       8997       5072   172271.0       10.0     107379      0.029      0.000
   1100.00       8413       4716   169843.0       10.0     107380      0.028      0.000
   1150.00       7504       4210   164683.0       10.0     107381      0.026      0.000
   1200.00       6887       3860   157222.0       10.0     107382      0.025      0.000
   1250.00       6486       3632   148144.0       10.0     107383      0.025      0.000
   1300.00       6089       3465   139056.0       10.0     107384      0.025      0.000
   1350.00       5828       3261   130235.0       10.0     107385      0.025      0.000
   1400.00       5691       3246   121383.0       10.0     107386      0.027      0.000
   1450.00       5555       3186   112375.0       10.0     107387      0.028      0.001
