#CNTAS Song Sun Jul 20 12:30:59 2014 
#USER: Song 
#DATE: Sun Jul 20 12:30:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=-100, step=50, end=1200, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   40.00       monho=   80.00          om=   20.28 
#ANGLES:        s2th=   40.12         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  626.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.44         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -91.00      10177       5858   118719.0       10.0     107439      0.049      0.001
    -50.00      10210       5833   118465.0       10.0     107440      0.049      0.001
      0.00      10291       5957   119454.0       10.0     107441      0.050      0.001
     50.00      10452       6073   118723.0       10.0     107442      0.051      0.001
    100.00      10621       6201   119949.0       10.0     107443      0.052      0.001
    150.00      10852       6326   123346.0       10.0     107444      0.051      0.001
    200.00      11624       6794   127013.0       10.0     107445      0.053      0.001
    250.00      12133       7060   131406.0       10.0     107446      0.054      0.001
    300.00      12686       7353   136644.0       10.0     107447      0.054      0.001
    350.00      14076       8249   141619.0       10.0     107448      0.058      0.001
    399.00      15564       9272   147905.0       10.0     107449      0.063      0.001
    450.00      17236      10113   154589.0       10.0     107450      0.065      0.001
    500.00      19339      11450   161874.0       10.0     107451      0.071      0.001
    550.00      21213      12664   166676.0       10.0     107452      0.076      0.001
    600.00      23561      13930   170652.0       10.0     107453      0.082      0.001
    650.00      25480      15292   172524.0       10.0     107454      0.089      0.001
    700.00      26165      15599   174303.0       10.0     107455      0.089      0.001
    750.00      25472      15231   172847.0       10.0     107456      0.088      0.001
    800.00      23959      14216   172638.0       10.0     107457      0.082      0.001
    850.00      21216      12440   171584.0       10.0     107458      0.073      0.001
    900.00      18696      10966   170882.0       10.0     107459      0.064      0.001
    950.00      16544       9681   170914.0       10.0     107460      0.057      0.001
   1000.00      14094       8133   171236.0       10.0     107461      0.047      0.001
   1050.00      13215       7573   170872.0       10.0     107462      0.044      0.001
   1100.00      11698       6712   172423.0       10.0     107463      0.039      0.000
   1150.00      10936       6255   171967.0       10.0     107464      0.036      0.000
   1200.00      10422       5897   169972.0       10.0     107465      0.035      0.000
