#CNTAS Song Sun Jul 20 13:29:46 2014 
#USER: Song 
#DATE: Sun Jul 20 13:29:46 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=mgL, amplitude=3, step=0.3, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.00          om=   20.28 
#ANGLES:        s2th=   40.04         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1051.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.59         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.41        467        172    41252.0       10.0     107569      0.004      0.000
     -2.11        602        220    46152.0       10.0     107570      0.005      0.000
     -1.81        803        297    53049.0       10.0     107571      0.006      0.000
     -1.81        776        267    53147.0       10.0     107572      0.005      0.000
     -1.21       1480        637    69223.0       10.0     107573      0.009      0.000
     -0.91       2748       1414    76778.0       10.0     107574      0.018      0.000
     -0.61       5436       2943    82297.0       10.0     107575      0.036      0.001
     -0.31      10277       6009    86140.0       10.0     107576      0.070      0.001
     -0.01      17506      10576    87593.0       10.0     107577      0.121      0.001
      0.29      24120      14478    87143.0       10.0     107578      0.166      0.001
      0.59      27195      16385    84684.0       10.0     107579      0.193      0.002
      0.89      25501      15403    81669.0       10.0     107580      0.189      0.002
      1.19      21153      12538    78269.0       10.0     107581      0.160      0.002
      1.49      15669       9391    75082.0       10.0     107582      0.125      0.001
      1.79      11090       6577    71163.0       10.0     107583      0.092      0.001
      2.09       7986       4657    65574.0       10.0     107584      0.071      0.001
      2.39       5299       3104    58181.0       10.0     107585      0.053      0.001
      2.69       3778       2130    49300.0       10.0     107586      0.043      0.001
      2.98       2635       1480    40496.0       10.0     107587      0.037      0.001
      2.98       2678       1474    40172.0       10.0     107588      0.037      0.001
      2.98       2618       1509    40256.0       10.0     107589      0.037      0.001
