#CNTAS Song Sun Jul 20 14:30:11 2014 
#USER: Song 
#DATE: Sun Jul 20 14:30:11 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=300, step=50, end=1700, time=10)
#STEPS: mvfoc = 50  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.00          om=   20.28 
#ANGLES:        s2th=   40.04         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1051.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.73         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    301.00       2527       1359    58676.0       10.0     107593      0.023      0.001
    350.00       2540       1355    59975.0       10.0     107594      0.023      0.001
    400.00       2737       1487    61733.0       10.0     107595      0.024      0.001
    450.00       2936       1604    64012.0       10.0     107596      0.025      0.001
    500.00       3124       1724    65610.0       10.0     107597      0.026      0.001
    550.00       3436       1877    68132.0       10.0     107598      0.028      0.001
    600.00       3634       2014    70727.0       10.0     107599      0.028      0.001
    650.00       3988       2138    73787.0       10.0     107600      0.029      0.001
    700.00       4504       2484    76783.0       10.0     107601      0.032      0.001
    750.00       5163       2823    79223.0       10.0     107602      0.036      0.001
    800.00       5464       3072    81189.0       10.0     107603      0.038      0.001
    850.00       6409       3660    82703.0       10.0     107604      0.044      0.001
    900.00       6809       3896    82919.0       10.0     107605      0.047      0.001
    950.00       7609       4362    83082.0       10.0     107606      0.053      0.001
   1000.00       8150       4801    82787.0       10.0     107607      0.058      0.001
   1050.00       8468       4829    81832.0       10.0     107608      0.059      0.001
   1100.00       8025       4667    80893.0       10.0     107609      0.058      0.001
   1150.00       7608       4375    80669.0       10.0     107610      0.054      0.001
   1200.00       7326       4109    80500.0       10.0     107611      0.051      0.001
   1250.00       6666       3846    80340.0       10.0     107612      0.048      0.001
   1300.00       5882       3236    80135.0       10.0     107613      0.040      0.001
   1350.00       5588       3070    80325.0       10.0     107614      0.038      0.001
   1400.00       5160       2837    79749.0       10.0     107615      0.036      0.001
   1450.00       4773       2619    79975.0     10.004     107616      0.033      0.001
   1500.00       4475       2352    79695.0       10.0     107617      0.030      0.001
   1550.00       4276       2275    79623.0       10.0     107618      0.029      0.001
   1600.00       4060       2169    80406.0       10.0     107619      0.027      0.001
   1651.00       3844       2015    80214.0       10.0     107620      0.025      0.001
   1701.00       3825       2029    80102.0     10.001     107621      0.025      0.001
