#CNTAS Song Sun Jul 20 15:36:48 2014 
#USER: Song 
#DATE: Sun Jul 20 15:36:48 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=mvfoc, start=300, step=100, end=2000, time=10)
#STEPS: mvfoc = 100  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.00       monho=   40.01          om=   20.28 
#ANGLES:        s2th=   40.04         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  951.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2100.00      sadist=  750.05     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#    mvfoc        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    301.00       2473       1368    52362.0       10.0     107713      0.026      0.001
    400.00       2873       1588    54115.0       10.0     107714      0.029      0.001
    500.00       3379       1835    57654.0       10.0     107715      0.032      0.001
    600.00       3731       2090    61952.0       10.0     107716      0.034      0.001
    700.00       4311       2422    66439.0       10.0     107717      0.036      0.001
    800.00       4829       2730    71201.0       10.0     107718      0.038      0.001
    900.00       5038       2866    74437.0       10.0     107719      0.039      0.001
   1000.00       4530       2521    75485.0       10.0     107720      0.033      0.001
   1100.00       3788       2066    74603.0       10.0     107721      0.028      0.001
   1200.00       3970       2193    73346.0       10.0     107722      0.030      0.001
   1300.00       4812       2710    72492.0       10.0     107723      0.037      0.001
   1400.00       5465       3077    71895.0       10.0     107724      0.043      0.001
   1500.00       5462       3059    71373.0       10.0     107725      0.043      0.001
   1600.00       5093       2863    71576.0       10.0     107726      0.040      0.001
   1700.00       4925       2798    72475.0       10.0     107727      0.039      0.001
   1800.00       4628       2575    72530.0       10.0     107728      0.036      0.001
   1901.00       4699       2554    73010.0     10.001     107729      0.035      0.001
   2000.00       4831       2756    72373.0       10.0     107730      0.038      0.001
