#CNTAS Song Sun Jul 20 16:27:47 2014 
#USER: Song 
#DATE: Sun Jul 20 16:27:47 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=mgL, amplitude=3, step=0.3, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   40.00       monho=   79.95          om=   20.28 
#ANGLES:        s2th=   40.20         ath=    0.00      detang=    0.01 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  691.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.00      sadist=  749.93     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.80         43         15     8581.0       10.0     107797      0.002      0.000
     -2.50         71         25    19249.0       10.0     107798      0.001      0.000
     -2.20        166         50    37656.0       10.0     107799      0.001      0.000
     -1.90        323        103    59475.0       10.0     107800      0.002      0.000
     -1.60        540        174    80650.0       10.0     107801      0.002      0.000
     -1.30        842        254    96870.0       10.0     107802      0.003      0.000
     -1.00       1401        510   114322.0       10.0     107803      0.004      0.000
     -0.70       2271        967   132969.0       10.0     107804      0.007      0.000
     -0.40       4238       2039   150778.0       10.0     107805      0.014      0.000
     -0.40       4245       2082   150843.0     10.003     107806      0.014      0.000
      0.20       9121       5045   168828.0       10.0     107807      0.030      0.000
      0.50       8135       4418   167868.0       10.0     107808      0.026      0.000
      0.80       4792       2523   163144.0       10.0     107809      0.015      0.000
      1.10       2404       1087   155495.0     10.006     107810      0.007      0.000
      1.40       1409        567   139498.0       10.0     107811      0.004      0.000
      1.70       1271        531   117551.0       10.0     107812      0.005      0.000
      2.00       1218        546    95005.0       10.0     107813      0.006      0.000
      2.30        931        422    75153.0       10.0     107814      0.006      0.000
      2.60        576        262    56848.0       10.0     107815      0.005      0.000
      2.90        236        104    39043.0       10.0     107816      0.003      0.000
      3.20        107         40    23297.0       10.0     107817      0.002      0.000
