#CNTAS Song Sun Jul 20 17:23:47 2014 
#USER: Song 
#DATE: Sun Jul 20 17:23:47 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=mgL, amplitude=3, step=0.3, time=10)
#STEPS: mgL = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   60.00       monho=  119.98          om=   20.28 
#ANGLES:        s2th=   40.07         ath=    0.00      detang=    0.01 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  666.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2116.00      sadist=  749.92     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      mgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.80         57         19   802864.0       10.0     107880      0.000      0.000
     -2.50         48         19   803409.0       10.0     107881      0.000      0.000
     -2.20         73         23   804492.0       10.0     107882      0.000      0.000
     -1.90         87         43   807580.0       10.0     107883      0.000      0.000
     -1.60        178         65   815469.0       10.0     107884      0.000      0.000
     -1.30        333        115   828955.0       10.0     107885      0.000      0.000
     -1.00        674        260   844445.0       10.0     107886      0.000      0.000
     -0.70       1302        516   859226.0     10.001     107887      0.001      0.000
     -0.40       2617       1213   871509.0       10.0     107888      0.001      0.000
     -0.10       5097       2731   878350.0       10.0     107889      0.003      0.000
      0.20       7029       3946   880324.0       10.0     107890      0.004      0.000
      0.50       5473       2977   881058.0       10.0     107891      0.003      0.000
      0.80       2923       1489   878859.0       10.0     107892      0.002      0.000
      1.10       1477        657   874786.0     10.002     107893      0.001      0.000
      1.40        808        305   864962.0       10.0     107894      0.000      0.000
      1.70        492        200   851907.0       10.0     107895      0.000      0.000
      2.00        284        123   836740.0       10.0     107896      0.000      0.000
      2.30        157         60   821842.0       10.0     107897      0.000      0.000
