#CNTAS Song Mon Jul 21 12:35:18 2014 
#USER: Song 
#DATE: Mon Jul 21 12:35:18 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=detang, amplitude=2, step=0.2, time=10)
#STEPS: detang = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -50.00         ath=   20.90      detang=   41.93 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.96     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#   detang        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     39.93         25          8    31240.0       10.0     107973      0.000      0.000
     40.13         29         11    31605.0       10.0     107975      0.000      0.000
     40.33         50         25    31589.0       10.0     107977      0.001      0.000
     40.53         52         30    31607.0       10.0     107979      0.001      0.000
     40.73         76         53    31415.0       10.0     107981      0.002      0.000
     40.93        108         84    31491.0       10.0     107982      0.003      0.000
     41.13        181        143    31571.0       10.0     107984      0.005      0.000
     41.33        213        170    31447.0       10.0     107986      0.005      0.000
     41.53        298        242    31556.0       10.0     107988      0.008      0.000
     41.73        288        238    31386.0       10.0     107989      0.008      0.000
     41.93        268        214    31662.0       10.0     107991      0.007      0.000
     42.13        257        207    31370.0       10.0     107993      0.007      0.000
     42.33        178        145    31350.0       10.0     107995      0.005      0.000
     42.53        130        100    31202.0     10.008     107996      0.003      0.000
     42.73         77         55    31194.0       10.0     107998      0.002      0.000
     42.93         65         47    31367.0       10.0     108000      0.001      0.000
     43.13         28         19    31293.0       10.0     108002      0.001      0.000
     43.33         28         13    31524.0       10.0     108003      0.000      0.000
     43.53         15          5    31426.0       10.0     108005      0.000      0.000
