#CNTAS Song Mon Jul 21 12:53:57 2014 
#USER: Song 
#DATE: Mon Jul 21 12:53:57 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=ath, start=19.9, step=0.1, end=21.9, time=10)
#STEPS: ath = 0.1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -50.00         ath=   20.90      detang=   41.75 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.96     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      ath        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     19.90         63         38    31345.0       10.0     108007      0.001      0.000
     20.00         50         28    31438.0       10.0     108008      0.001      0.000
     20.10         58         35    31079.0       10.0     108009      0.001      0.000
     20.20         85         69    31302.0       10.0     108010      0.002      0.000
     20.30        135        103    31432.0       10.0     108011      0.003      0.000
     20.40        178        143    31252.0       10.0     108012      0.005      0.000
     20.50        235        199    31756.0       10.0     108013      0.006      0.000
     20.60        254        217    31290.0       10.0     108014      0.007      0.000
     20.70        291        244    31211.0       10.0     108015      0.008      0.001
     20.80        299        247    31164.0       10.0     108016      0.008      0.001
     20.90        325        259    30850.0       10.0     108017      0.008      0.001
     21.00        254        205    31142.0     10.001     108018      0.007      0.000
     21.10        227        190    31045.0       10.0     108019      0.006      0.000
     21.20        198        145    31028.0       10.0     108020      0.005      0.000
     21.30        187        139    31065.0       10.0     108021      0.004      0.000
     21.40        163        126    31090.0       10.0     108022      0.004      0.000
     21.50        106         81    31055.0       10.0     108023      0.003      0.000
     21.60         92         70    31395.0       10.0     108024      0.002      0.000
     21.70         66         42    31366.0       10.0     108025      0.001      0.000
     21.80         52         35    31271.0       10.0     108026      0.001      0.000
     21.90         47         25    31206.0       10.0     108027      0.001      0.000
