#CNTAS Song Mon Jul 21 14:39:15 2014 
#USER: Song 
#DATE: Mon Jul 21 14:39:15 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-93.5, step=0.3, end=-99.2, time=15)
#STEPS: s2th = 0.3  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.96       monho=   41.93          om=   20.28 
#ANGLES:        s2th=  -90.80         ath=    0.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=  -12.56        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  750.17     detdist=  650.00 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -93.50        121         90    45152.0       15.0     108163      0.002      0.000
    -93.80        115         84    45125.0       15.0     108164      0.002      0.000
    -94.10        169        120    45349.0       15.0     108165      0.003      0.000
    -94.40        189        140    45490.0       15.0     108166      0.003      0.000
    -94.70        350        294    45531.0       15.0     108167      0.006      0.000
    -95.00        634        546    45574.0       15.0     108168      0.012      0.001
    -95.30        999        876    45092.0       15.0     108169      0.019      0.001
    -95.60       1616       1412    44866.0       15.0     108171      0.031      0.001
    -95.90       1835       1610    44950.0       15.0     108172      0.036      0.001
    -96.20       2266       2026    44941.0       15.0     108173      0.045      0.001
    -96.50       2520       2233    45256.0       15.0     108174      0.049      0.001
    -96.80       2552       2222    45188.0       15.0     108175      0.049      0.001
    -97.10       2322       2056    45504.0       15.0     108177      0.045      0.001
    -97.40       2056       1797    45170.0       15.0     108178      0.040      0.001
    -97.70       1606       1384    44960.0       15.0     108179      0.031      0.001
    -98.00       1362       1170    45108.0       15.0     108180      0.026      0.001
    -98.30       1100        942    44810.0       15.0     108181      0.021      0.001
    -98.60        705        594    45210.0       15.0     108183      0.013      0.001
    -98.90        404        333    45167.0       15.0     108184      0.007      0.000
    -99.20        247        195    44478.0       15.0     108185      0.004      0.000
