#CNTAS Song Mon Jul 21 15:50:56 2014 
#USER: Song 
#DATE: Mon Jul 21 15:50:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=320, step=0.4, end=340, time=2)
#STEPS: om = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  330.00 
#ANGLES:        s2th=  -61.90         ath=   20.91      detang=   41.82 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    320.00         24         20     5937.0        2.0     108236      0.003      0.001
    320.40         31         30     5935.0        2.0     108237      0.005      0.001
    320.80         28         24     5973.0        2.0     108238      0.004      0.001
    321.20         30         28     5919.0        2.0     108239      0.005      0.001
    321.60         28         25     6033.0        2.0     108240      0.004      0.001
    322.00         34         25     5984.0        2.0     108241      0.004      0.001
    322.40         26         21     5919.0        2.0     108242      0.004      0.001
    322.80         35         27     5890.0        2.0     108243      0.005      0.001
    323.20         46         42     5948.0        2.0     108244      0.007      0.001
    323.60         38         32     5909.0        2.0     108245      0.005      0.001
    324.00         51         44     5879.0        2.0     108246      0.007      0.001
    324.40         53         46     5856.0        2.0     108247      0.008      0.001
    324.80         77         66     6027.0        2.0     108248      0.011      0.001
    325.20         61         55     6096.0        2.0     108249      0.009      0.001
    325.60         74         68     6025.0        2.0     108250      0.011      0.001
    326.00        102         91     5975.0        2.0     108251      0.015      0.002
    326.40        106         97     5878.0        2.0     108252      0.017      0.002
    326.80        104         97     5902.0        2.0     108253      0.016      0.002
    327.20        127        118     6010.0        2.0     108254      0.020      0.002
    327.60        150        134     5995.0        2.0     108255      0.022      0.002
    328.00        200        187     5909.0        2.0     108256      0.032      0.002
    328.40        243        234     5940.0        2.0     108257      0.039      0.003
    328.80        256        241     6016.0        2.0     108258      0.040      0.003
    329.20        337        312     5963.0        2.0     108259      0.052      0.003
    329.60        438        404     6027.0        2.0     108260      0.067      0.003
    330.00        548        512     6044.0        2.0     108261      0.085      0.004
    330.40        816        743     5984.0        2.0     108262      0.124      0.005
    330.80       1297       1173     6043.0        2.0     108263      0.194      0.006
    331.20       3296       3001     5837.0        2.0     108264      0.514      0.012
    331.60      12311      11296     6010.0        2.0     108265      1.880      0.030
    332.00      26634      24327     5949.0        2.0     108266      4.089      0.059
    332.40      33325      31054     6028.0        2.0     108267      5.152      0.073
    332.80       5806       5436     5840.0        2.0     108268      0.931      0.018
    333.20       1945       1819     5877.0        2.0     108269      0.310      0.008
    333.60       1268       1171     5956.0        2.0     108270      0.197      0.006
    334.00        902        828     6009.0        2.0     108271      0.138      0.005
    334.40        635        592     5854.0        2.0     108272      0.101      0.004
    334.80        507        469     5888.0        2.0     108273      0.080      0.004
    335.20        406        372     5967.0        2.0     108274      0.062      0.003
    335.60        258        238     5953.0        2.0     108275      0.040      0.003
    336.00        234        220     6001.0        2.0     108276      0.037      0.003
