#CNTAS Song Mon Jul 21 16:11:02 2014 
#USER: Song 
#DATE: Mon Jul 21 16:11:02 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=sgL, start=-2, step=0.4, end=6.4, time=2)
#STEPS: sgL = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  332.20 
#ANGLES:        s2th=  -61.90         ath=   20.91      detang=   41.82 
#ANGLES:         sgU=    0.00         sgL=   -3.20       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -2.00       5357        351     4128.0        2.0     108314      0.085      0.005
     -1.60       8970        416     4075.0        2.0     108315      0.102      0.005
     -1.20      12814        581     4145.0        2.0     108316      0.140      0.006
     -0.80      17386        794     4122.0        2.0     108317      0.193      0.007
     -0.40      21510       1091     4180.0        2.0     108318      0.261      0.009
      0.00      25129       1694     3988.0        2.0     108319      0.425      0.012
      0.40      27966       3850     3976.0        2.0     108320      0.968      0.022
      0.80      33997       8143     3997.0        2.0     108321      2.037      0.039
      1.20      41490      13422     3971.0        2.0     108322      3.380      0.061
      1.60      47142      17237     3917.0        2.0     108323      4.401      0.078
      2.00      53724      21428     4151.0        2.0     108324      5.162      0.088
      2.40      57869      22609     4047.0        2.0     108325      5.587      0.095
      2.80      59379      21714     4010.0        2.0     108326      5.415      0.093
      3.20      58930      20646     4064.0        2.0     108327      5.080      0.087
      3.60      59475      20382     4011.0        2.0     108328      5.082      0.088
      4.00      59178      20097     4087.0        2.0     108329      4.917      0.084
      4.40      57300      18999     4012.0        2.0     108330      4.736      0.082
      4.80      56038      20503     4044.0        2.0     108331      5.070      0.087
      5.20      50292      18280     4100.0        2.0     108332      4.459      0.077
      5.60      44857      14343     4030.0        2.0     108333      3.559      0.063
      6.00      36321       9067     3976.0        2.0     108334      2.280      0.043
      6.40      29939       4749     3943.0        2.0     108335      1.204      0.026
