#CNTAS Song Mon Jul 21 16:25:25 2014 
#USER: Song 
#DATE: Mon Jul 21 16:25:25 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=om, amplitude=2, step=0.2, time=2)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  332.20 
#ANGLES:        s2th=  -61.88         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    0.00         sgL=    3.42       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    330.20        833        303     3959.0      2.001     108356      0.077      0.005
    330.40       1018        402     3951.0        2.0     108357      0.102      0.005
    330.60       1186        426     3930.0        2.0     108358      0.108      0.006
    330.80       1496        510     4086.0        2.0     108359      0.125      0.006
    331.00       2202        745     4065.0        2.0     108360      0.183      0.007
    331.20       3724       1226     3957.0        2.0     108361      0.310      0.010
    331.40       7131       2347     4034.0        2.0     108362      0.582      0.015
    331.60      14987       5078     3939.0        2.0     108363      1.289      0.027
    331.80      27352       9624     3949.0        2.0     108364      2.437      0.046
    332.00      40577      14237     4048.0        2.0     108365      3.517      0.063
    332.20      58789      20063     4002.0        2.0     108366      5.013      0.087
    332.40      60554      21579     4140.0        2.0     108367      5.212      0.088
    332.60      28048      10810     4020.0        2.0     108368      2.689      0.050
    332.80       9849       3858     3931.0        2.0     108369      0.981      0.022
    333.00       3771       1374     4044.0        2.0     108370      0.340      0.011
    333.20       2203        736     4002.0        2.0     108371      0.184      0.007
    333.40       1603        528     3945.0        2.0     108372      0.134      0.006
    333.60       1329        459     4142.0        2.0     108373      0.111      0.005
    333.80       1005        357     4016.0        2.0     108374      0.089      0.005
    334.00        949        307     3962.0        2.0     108375      0.077      0.005
    334.20        751        260     4024.0        2.0     108376      0.065      0.004
