#CNTAS Song Mon Jul 21 16:59:46 2014 
#USER: Song 
#DATE: Mon Jul 21 16:59:46 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgL, amplitude=5, step=0.4, time=2)
#STEPS: sgL = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  201.51 
#ANGLES:        s2th=  -72.87         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    1.30         sgL=    3.42       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgL        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -1.58      16689       2427     3867.0        2.0     108439      0.628      0.016
     -1.18      18424       4001     4124.0        2.0     108440      0.970      0.022
     -0.78      19718       5435     3825.0        2.0     108441      1.421      0.030
     -0.38      21050       6861     3866.0        2.0     108442      1.775      0.036
      0.02      22268       7688     3854.0        2.0     108443      1.995      0.039
      0.42      23391       8423     3880.0        2.0     108444      2.171      0.042
      0.82      24537       9516     3937.0        2.0     108445      2.417      0.046
      1.22      25385       9934     3933.0        2.0     108446      2.526      0.048
      1.62      26506       9999     3907.0        2.0     108447      2.559      0.048
      2.02      26792       9771     3889.0        2.0     108448      2.512      0.048
      2.42      27344       9770     3930.0        2.0     108449      2.486      0.047
      2.82      26958       9882     3930.0        2.0     108450      2.515      0.047
      3.22      26922       9800     3949.0        2.0     108451      2.482      0.047
      3.62      27243       9804     3963.0        2.0     108452      2.474      0.047
      4.02      27274       9601     3942.0        2.0     108453      2.436      0.046
      4.42      27150       9547     4026.0        2.0     108454      2.371      0.045
      4.82      25799       9854     3981.0        2.0     108455      2.475      0.046
      5.22      25955      10635     3961.0        2.0     108456      2.685      0.050
      5.62      24815      10740     4008.0        2.0     108457      2.680      0.050
      6.02      24038      10838     3925.0        2.0     108458      2.761      0.051
      6.42      22129       9607     4041.0        2.0     108459      2.377      0.045
      6.82      20654       8386     4040.0        2.0     108460      2.076      0.040
      7.22      19239       6812     3988.0        2.0     108461      1.708      0.034
      7.62      17130       5053     4038.0        2.0     108462      1.251      0.026
      8.02      15801       3564     3998.0        2.0     108463      0.891      0.021
      8.42      14064       2071     3886.0        2.0     108464      0.533      0.014
