#CNTAS Song Mon Jul 21 17:10:26 2014 
#USER: Song 
#DATE: Mon Jul 21 17:10:26 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=5.2, step=0.4, time=2)
#STEPS: sgU = 0.4  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  201.51 
#ANGLES:        s2th=  -72.87         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    1.30         sgL=    3.16       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -3.90       2983         47     3921.0        2.0     108469      0.012      0.002
     -3.50       4654         88     3917.0        2.0     108470      0.022      0.002
     -3.10       6598        115     3814.0        2.0     108471      0.030      0.003
     -2.70       8817        204     3920.0        2.0     108472      0.052      0.004
     -2.30      11095        540     3992.0        2.0     108473      0.135      0.006
     -1.90      13825       1788     3914.0        2.0     108475      0.457      0.013
     -1.50      16709       3846     4008.0        2.0     108476      0.960      0.022
     -1.10      19271       5931     3871.0        2.0     108477      1.532      0.032
     -0.70      21716       8227     3938.0        2.0     108478      2.089      0.040
     -0.30      24715       9958     3942.0        2.0     108479      2.526      0.048
      0.10      26340      10771     3857.0        2.0     108480      2.793      0.052
      0.50      26865      10369     4016.0        2.0     108481      2.582      0.048
      0.90      27293      10176     3898.0        2.0     108482      2.611      0.049
      1.30      27315      10034     4006.0        2.0     108483      2.505      0.047
      1.70      26900       9425     3954.0        2.0     108484      2.384      0.045
      2.10      24670       9524     3917.0        2.0     108485      2.431      0.046
      2.50      22722      10369     4020.0        2.0     108486      2.579      0.048
      2.90      18551       9254     3953.0        2.0     108487      2.341      0.044
      3.30      13944       7008     3981.0        2.0     108488      1.760      0.035
      3.70      10164       4325     3972.0        2.0     108489      1.089      0.024
      4.10       6708       1885     3934.0        2.0     108490      0.479      0.013
      4.50       4268        508     3880.0        2.0     108491      0.131      0.006
      4.90       2456        130     3947.0        2.0     108492      0.033      0.003
      5.30       1394         59     3883.0        2.0     108493      0.015      0.002
      5.70        860         65     3937.0        2.0     108494      0.017      0.002
      6.10        431         30     3933.0        2.0     108495      0.008      0.001
