#CNTAS Song Sun Sep 14 11:36:26 2014 
#USER: Song 
#DATE: Sun Sep 14 11:36:26 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-53, step=0.2, end=-77, time=10)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.82       monho=   41.85          om=    0.00 
#ANGLES:        s2th=  -37.50         ath=    2.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -12.10 
#ANGLES:       antrY=  -12.50        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -53.00         61         51        0.0       10.0     108839      0.000      0.000
    -53.20         63         50        0.0       10.0     108840      0.000      0.000
    -53.40         63         48        0.0       10.0     108841      0.000      0.000
    -53.60         51         36        0.0       10.0     108842      0.000      0.000
    -53.80         58         42        0.0       10.0     108843      0.000      0.000
    -54.00         58         42        0.0       10.0     108844      0.000      0.000
    -54.20         57         43        0.0       10.0     108845      0.000      0.000
    -54.40         66         56        0.0       10.0     108846      0.000      0.000
    -54.60         59         39        0.0       10.0     108847      0.000      0.000
    -54.80         72         52        0.0       10.0     108848      0.000      0.000
    -55.00         92         61        0.0       10.0     108849      0.000      0.000
    -55.20        105         65        0.0       10.0     108850      0.000      0.000
    -55.40        110         83        0.0       10.0     108851      0.000      0.000
    -55.60        172        134        0.0       10.0     108852      0.000      0.000
    -55.80        134        104        0.0       10.0     108853      0.000      0.000
    -56.00        164        133        0.0     10.009     108854      0.000      0.000
    -56.20        156        122        0.0       10.0     108855      0.000      0.000
    -56.40        155        125        0.0       10.0     108856      0.000      0.000
    -56.60        130        102        0.0       10.0     108857      0.000      0.000
    -56.80        121         88        0.0       10.0     108858      0.000      0.000
    -57.00        104         85        0.0       10.0     108859      0.000      0.000
    -57.20         82         66        0.0       10.0     108860      0.000      0.000
    -57.40         81         68        0.0       10.0     108861      0.000      0.000
    -57.60         53         41        0.0       10.0     108862      0.000      0.000
    -57.80         70         53        0.0       10.0     108863      0.000      0.000
    -58.00         47         32        0.0       10.0     108864      0.000      0.000
    -58.20         58         47        0.0       10.0     108865      0.000      0.000
    -58.40         37         27        0.0       10.0     108866      0.000      0.000
    -58.59         66         45        0.0       10.0     108867      0.000      0.000
    -58.80         61         49        0.0       10.0     108868      0.000      0.000
    -59.00         52         40        0.0       10.0     108869      0.000      0.000
    -59.20         57         47        0.0       10.0     108870      0.000      0.000
    -59.40         59         39        0.0     10.008     108871      0.000      0.000
    -59.60         52         40        0.0       10.0     108872      0.000      0.000
    -59.80         63         44        0.0       10.0     108873      0.000      0.000
    -60.00         67         46        0.0       10.0     108875      0.000      0.000
    -60.20         56         41        0.0       10.0     108876      0.000      0.000
    -60.40         57         44        0.0       10.0     108877      0.000      0.000
    -60.60         73         57        0.0       10.0     108878      0.000      0.000
    -60.80         53         36        0.0     10.001     108879      0.000      0.000
