#CNTAS Song Mon Sep 15 13:31:31 2014 
#USER: Song 
#DATE: Mon Sep 15 13:31:31 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-60, step=1, end=-100, time=70)
#STEPS: s2th = 1  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.061 B=  4.061 C=  4.061
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=   19.31 
#ANGLES:        s2th=  -72.00         ath=   20.91      detang=   41.82 
#ANGLES:         sgU=    0.00         sgL=   -0.85       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -60.00        179        108        0.0       70.0     109612      0.000      0.000
    -61.00       1255       1052        0.0       70.0     109614      0.000      0.000
    -62.00       2264       2110        0.0       70.0     109615      0.000      0.000
    -62.99        110         73        0.0       70.0     109616      0.000      0.000
    -63.99        149         97        0.0       70.0     109617      0.000      0.000
    -65.00         89         60        0.0       70.0     109618      0.000      0.000
    -66.00        101         65        0.0       70.0     109619      0.000      0.000
    -67.00         88         53        0.0       70.0     109621      0.000      0.000
    -68.00         92         54        0.0       70.0     109622      0.000      0.000
    -69.00        102         71        0.0       70.0     109623      0.000      0.000
    -70.00        219        166        0.0       70.0     109624      0.000      0.000
    -71.00        269        188        0.0       70.0     109625      0.000      0.000
    -72.00       1263       1135        0.0       70.0     109626      0.000      0.000
    -73.00        889        803        0.0       70.0     109627      0.000      0.000
    -74.00        134         95        0.0       70.0     109629      0.000      0.000
    -75.00         92         58        0.0       70.0     109630      0.000      0.000
    -76.00        117         79        0.0       70.0     109631      0.000      0.000
    -77.00        100         71        0.0       70.0     109632      0.000      0.000
    -78.00         75         40        0.0       70.0     109633      0.000      0.000
    -79.00         69         36        0.0       70.0     109634      0.000      0.000
    -80.00         96         67        0.0       70.0     109635      0.000      0.000
    -81.00        502        414        0.0     70.003     109637      0.000      0.000
    -81.00        517        421        0.0       70.0     109639      0.000      0.000
    -83.00        225        173        0.0       70.0     109640      0.000      0.000
    -84.00        131         80        0.0       70.0     109641      0.000      0.000
    -85.00        119         71        0.0       70.0     109642      0.000      0.000
    -86.00        106         68        0.0       70.0     109643      0.000      0.000
    -87.00        103         59        0.0       70.0     109644      0.000      0.000
    -88.00         92         55        0.0       70.0     109645      0.000      0.000
    -89.00         79         42        0.0       70.0     109647      0.000      0.000
    -90.00         92         51        0.0       70.0     109648      0.000      0.000
    -91.00         79         50        0.0       70.0     109649      0.000      0.000
    -92.00         77         51        0.0       70.0     109650      0.000      0.000
    -93.00         77         45        0.0       70.0     109651      0.000      0.000
    -94.00         92         53        0.0       70.0     109652      0.000      0.000
    -95.00         86         45        0.0       70.0     109653      0.000      0.000
    -96.00         78         41        0.0       70.0     109654      0.000      0.000
    -97.00         94         62        0.0       70.0     109656      0.000      0.000
    -98.00         96         50        0.0       70.0     109658      0.000      0.000
    -99.00        449        363        0.0       70.0     109659      0.000      0.000
   -100.00        794        687        0.0       70.0     109660      0.000      0.000
