#CNTAS Song Wed Sep 24 18:20:55 2014 
#USER: Song 
#DATE: Wed Sep 24 18:20:55 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1, 1, 1.07, 1], step=[0, 0, 0, 0.25], np=21, time=60)
#STEPS: EN = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.055 B=  4.055 C=  4.055
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  297.33 
#ANGLES:        s2th=  -69.67         ath=   18.39      detang=   36.78 
#ANGLES:         sgU=   -5.00         sgL=   -0.20       mvfoc= 1100.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   14.00         s1Y=   14.00 
#ANGLES:         s1L=  142.72         s1U=   80.00         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.40      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.0000  1.0000  1.0700   1.00 125256.0   60.00      566      536   111654  20.91  41.83 240.36 -64.40  21.73  43.45  -0.20  -5.00
 1.0000  1.0000  1.0700   1.25 127739.0   60.00      828      786   111659  20.91  41.83 239.78 -64.72  21.94  43.89  -0.20  -5.00
 1.0000  1.0000  1.0700   1.50 125885.0   60.00      170      145   111662  20.91  41.83 239.20 -65.04  22.17  44.34  -0.20  -5.00
 1.0000  1.0000  1.0700   1.75 127096.0   60.00       53       37   111664  20.91  41.83 238.61 -65.36  22.40  44.80  -0.20  -5.00
 1.0000  1.0000  1.0700   2.00 127296.0   60.00       76       61   111667  20.91  41.83 238.02 -65.69  22.64  45.28  -0.20  -5.00
 1.0000  1.0000  1.0700   2.25 125971.0   60.00      107       98   111670  20.91  41.83 237.42 -66.03  22.89  45.78  -0.20  -5.00
 1.0000  1.0000  1.0700   2.50 125670.0   60.00      146      126   111674  20.91  41.83 236.82 -66.03  23.14  46.29  -0.20  -5.00
 1.0000  1.0000  1.0700   2.75 125035.0   60.00      102       93   111676  20.91  41.83 236.21 -66.70  23.41  46.82  -0.20  -5.00
 1.0000  1.0000  1.0700   3.00 127284.0   60.00       84       71   111678  20.91  41.83 235.60 -67.04  23.68  47.37  -0.20  -5.00
 1.0000  1.0000  1.0700   3.25    610.0    0.31        1        1   111680  20.91  41.83 234.99 -67.38  23.97  47.94  -0.20  -5.00
 1.0000  1.0000  1.0700   3.50 127516.0   60.00       46       31   111680  20.91  41.83 234.37 -67.73  24.26  48.52  -0.20  -5.00
 1.0000  1.0000  1.0700   3.75 126947.0   60.00       48       33   111682  20.91  41.83 233.74 -68.09  24.57  49.14  -0.20  -5.00
 1.0000  1.0000  1.0700   4.00 126582.0   60.00       45       31   111684  20.91  41.83 233.11 -68.45  24.88  49.77  -0.20  -5.00
 1.0000  1.0000  1.0700   4.25 125722.0   60.00       26       14   111686  20.91  41.83 232.47 -68.81  25.22  50.43  -0.20  -5.00
 1.0000  1.0000  1.0700   4.50 126049.0   60.00       20       16   111688  20.91  41.83 231.82 -69.18  25.56  51.12  -0.20  -5.00
 1.0000  1.0000  1.0700   4.75 126154.0   60.00       24       13   111690  20.91  41.83 231.17 -69.55  25.92  51.83  -0.20  -5.00
 1.0000  1.0000  1.0700   5.00 126324.0   60.00       22        6   111692  20.91  41.83 230.51 -69.93  26.29  52.58  -0.20  -5.00
 1.0000  1.0000  1.0700   5.25 125919.0   60.00       23        9   111694  20.91  41.83 229.84 -70.31  26.68  53.36  -0.20  -5.00
 1.0000  1.0000  1.0700   5.50 124910.0   60.00       12        6   111697  20.91  41.83 229.17 -70.71  27.09  54.18  -0.20  -5.00
 1.0000  1.0000  1.0700   5.75 125759.0   60.00       18        9   111699  20.91  41.83 228.49 -71.10  27.52  55.03  -0.20  -5.00
