#CNTAS Song Thu Sep 25 04:48:34 2014 
#USER: Song 
#DATE: Thu Sep 25 04:48:34 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1, 1, -0.93, 1], step=[0, 0, 0, 0.25], np=18, time=120)
#STEPS: EN = 0.25  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.055 B=  4.055 C=  4.055
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  155.62 
#ANGLES:        s2th=  -70.31         ath=   26.68      detang=   53.36 
#ANGLES:         sgU=   -5.00         sgL=   -0.20       mvfoc= 1100.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   14.00         s1Y=   14.00 
#ANGLES:         s1L=  142.72         s1U=   80.00         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.40      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   15.42    anShLift=   18.35 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.0000  1.0000 -0.9300   1.00 243178.0  120.00       28        3   112043  20.91  41.83 171.44 -61.14  21.73  43.45  -0.20  -5.00
 1.0000  1.0000 -0.9300   1.25 241077.0  120.00       24        8   112045  20.91  41.83 170.84 -61.43  21.94  43.89  -0.20  -5.00
 1.0000  1.0000 -0.9300   1.50 241914.0  120.00       17        5   112047  20.91  41.83 170.24 -61.73  22.17  44.34  -0.20  -5.00
 1.0000  1.0000 -0.9300   1.75  65900.0  120.00        8        4   112049  20.91  41.83 169.64 -62.03  22.40  44.80  -0.20  -5.00
 1.0000  1.0000 -0.9300   2.00    125.0  120.00        5        1   112051  20.91  41.83 169.03 -62.34  22.64  45.28  -0.20  -5.00
 1.0000  1.0000 -0.9300   2.25     23.0  120.00        6        2   112053  20.91  41.83 168.42 -62.64  22.89  45.78  -0.20  -5.00
 1.0000  1.0000 -0.9300   2.50      0.0    0.78        0        0   112057  20.91  41.83 167.80 -62.95  23.14  46.29  -0.20  -5.00
 1.0000  1.0000 -0.9300   2.75     21.0  120.00        4        1   112057  20.91  41.83 167.18 -63.26  23.41  46.82  -0.20  -5.00
 1.0000  1.0000 -0.9300   3.00     13.0  120.00        7        1   112063  20.91  41.83 166.55 -63.58  23.68  47.37  -0.20  -5.00
 1.0000  1.0000 -0.9300   3.25     17.0   92.81        0        0   112067  20.91  41.83 165.91 -63.89  23.97  47.94  -0.20  -5.00
 1.0000  1.0000 -0.9300   3.50     11.0  120.00       11        3   112067  20.91  41.83 165.28 -64.21  24.26  48.52  -0.20  -5.00
 1.0000  1.0000 -0.9300   3.75     11.0  120.00        9        2   112069  20.91  41.83 164.63 -64.53  24.57  49.14  -0.20  -5.00
 1.0000  1.0000 -0.9300   4.00     11.0  120.00        3        1   112071  20.91  41.83 163.98 -64.86  24.88  49.77  -0.20  -5.00
 1.0000  1.0000 -0.9300   4.25      8.0  120.00        6        2   112082  20.91  41.83 163.32 -65.18  25.22  50.43  -0.20  -5.00
 1.0000  1.0000 -0.9300   4.50     19.0  120.00        5        2   112084  20.91  41.83 162.66 -65.52  25.56  51.12  -0.20  -5.00
 1.0000  1.0000 -0.9300   4.75     12.0  120.00        4        1   112090  20.91  41.83 161.99 -65.85  25.92  51.83  -0.20  -5.00
 1.0000  1.0000 -0.9300   5.00      7.0  120.00        4        0   112092  20.91  41.83 161.31 -66.19  26.29  52.58  -0.20  -5.00
 1.0000  1.0000 -0.9300   5.25      6.0  120.00        5        0   112098  20.91  41.83 160.63 -66.53  26.68  53.36  -0.20  -5.00
